,km_driven,selling_price,Age,Luxury_Segment,Fuel_Used_Gas,Fuel_Used_Petrol,Ownership_2nd Owner,Ownership_3rd Owner,Ownership_4th Owner,Transimission_Type_Manual
199,57510,493299,7,0,0,1,0,0,0,1
200,111191,747299,8,0,0,0,0,0,0,1
201,85928,794399,5,0,0,0,0,0,0,1
202,10141,2115299,1,1,0,0,0,0,0,1
203,77777,549499,6,0,0,0,0,0,0,1
204,36642,735999,6,0,0,0,0,0,0,1
205,28267,693899,7,0,0,1,0,0,0,1
206,32309,926599,4,0,0,1,0,0,0,0
207,62191,409199,8,0,0,0,0,0,0,1
208,61115,586199,6,0,0,1,0,0,0,1
209,72578,406199,7,0,0,1,0,0,0,0
210,8433,779999,5,0,0,0,1,0,0,1
211,90397,513099,7,0,0,1,1,0,0,1
212,50839,391399,8,0,0,0,0,0,0,1
213,72494,671499,5,0,0,0,0,0,0,1
214,36225,548799,8,0,0,0,0,0,0,1
215,39585,666599,6,0,0,0,0,0,0,1
216,12981,1155299,2,0,0,1,1,0,0,1
217,119208,288099,8,0,0,0,1,0,0,1
218,22464,692099,6,0,0,1,0,0,0,1
219,41202,525699,4,0,0,1,0,0,0,1
220,63907,700699,8,0,0,0,0,0,0,1
221,117699,1143599,9,1,0,0,1,0,0,1
222,24693,558999,3,0,0,1,1,0,0,1
223,195904,756399,5,0,0,0,0,0,0,1
224,98363,569299,6,0,0,1,0,0,0,1
225,72539,658799,6,0,0,0,0,0,0,1
226,54880,649099,6,0,0,0,0,0,0,1
227,50837,357199,9,0,0,0,1,0,0,1
228,45930,534399,4,0,0,1,0,0,0,1
229,53904,625899,7,0,0,0,0,0,0,1
230,66021,498899,7,0,0,0,0,0,1,1
231,51197,599399,5,0,0,0,1,0,0,1
232,48278,1033899,4,0,0,0,0,0,0,1
233,44319,204199,13,0,0,1,0,0,0,1
234,197865,1150199,9,1,0,0,0,0,0,0
235,105711,641699,8,0,0,0,0,0,0,1
236,39162,556699,3,0,0,1,0,0,0,1
237,12267,1774199,3,1,0,1,0,0,0,0
238,38538,871799,5,0,0,0,1,0,0,1
239,48794,627899,3,0,0,1,0,0,0,1
240,18150,914399,3,0,0,1,0,0,0,1
241,46300,524099,5,0,0,1,0,0,0,1
242,26841,566599,4,0,0,1,0,0,0,1
243,78933,877099,6,0,0,0,1,0,0,1
244,78433,483799,8,0,0,0,0,0,0,1
245,70976,554699,7,0,0,0,0,0,0,1
246,30697,522799,5,0,0,1,0,1,0,1
247,60584,235099,12,0,0,1,0,0,0,1
248,29857,414199,8,0,0,1,0,0,0,1
249,26890,802299,5,0,0,0,0,0,0,1
250,65090,470599,8,0,0,0,0,0,0,1
251,67255,618499,5,0,0,0,1,0,0,1
252,73384,615599,6,0,0,0,0,0,0,1
253,21886,687199,2,0,0,1,0,0,0,1
254,28416,597899,5,0,0,1,0,0,0,1
255,9928,1477399,2,0,0,1,0,0,0,0
256,39292,1901999,7,1,0,0,1,0,0,0
257,46960,785199,5,0,0,0,0,0,0,1
258,23941,989599,3,0,0,0,0,0,0,1
259,21031,1200399,2,0,0,0,0,0,0,1
260,84717,414499,8,0,0,0,0,0,0,1
261,7212,1310699,2,0,0,1,0,0,0,1
262,72728,640199,5,0,0,0,0,0,0,1
263,91458,822599,5,0,0,0,1,0,0,1
264,12934,1306399,2,0,0,1,0,0,0,0
265,59411,652499,5,0,0,0,0,0,0,1
266,24164,533699,3,0,0,1,0,0,0,1
267,36677,692699,8,0,0,1,1,0,0,0
268,27478,1177299,5,0,0,0,0,0,0,1
269,79766,2732599,5,1,0,0,0,0,0,0
270,48434,531999,5,0,0,1,1,0,0,1
271,96675,777099,5,0,0,0,1,0,0,1
272,11365,1277299,2,0,0,1,0,0,0,0
273,68107,682199,5,0,0,0,0,0,0,1
274,58533,975899,8,0,0,1,0,0,0,0
275,74369,837399,7,0,0,0,0,1,0,1
276,238600,698699,8,0,0,0,0,0,0,1
277,82670,1505599,9,1,0,0,1,0,0,0
278,136746,965999,8,0,0,0,0,0,0,1
279,31729,337399,10,0,0,1,1,0,0,1
280,39430,524999,5,0,0,1,1,0,0,1
281,79688,501899,6,0,0,0,1,0,0,1
282,79521,466199,7,0,0,0,0,0,0,1
283,55089,566699,5,0,0,1,0,1,0,0
284,116661,691999,8,0,0,1,0,0,0,1
285,22505,322499,4,0,0,1,1,0,0,1
286,75956,616399,6,0,0,0,1,0,0,1
287,64101,536499,5,0,0,1,0,0,0,1
288,77849,493299,7,0,0,0,0,0,0,1
289,40655,1113799,4,0,0,0,1,0,0,0
290,52447,1613299,3,1,0,0,1,0,0,1
291,13368,1712699,3,1,0,1,1,0,0,0
292,195015,475699,7,0,0,0,1,0,0,1
293,80189,351699,8,0,0,0,0,0,0,1
294,86466,573799,6,0,0,0,0,0,0,1
295,46533,658199,6,0,0,1,1,0,0,1
296,80062,417599,8,0,0,0,1,0,0,1
297,30545,669299,4,0,0,0,0,0,0,1
298,11396,456099,2,0,0,1,0,0,0,1
299,15523,455499,2,0,0,1,0,0,0,1
300,42240,726199,5,0,0,0,0,0,0,1
301,119092,297199,9,0,0,0,0,0,0,1
302,86299,474099,8,0,0,0,0,0,0,1
303,31525,624399,5,0,0,1,0,0,0,1
304,39298,231499,12,0,0,1,1,0,0,1
305,60014,350899,10,0,0,1,0,0,0,1
306,96034,395299,10,0,0,1,1,0,0,1
307,14723,821399,4,0,0,1,0,0,0,1
308,73782,506599,7,0,0,0,0,0,0,1
309,82898,312499,9,0,0,0,0,0,0,1
310,48194,606399,6,0,0,0,0,0,0,1
311,16947,1421699,3,0,0,1,0,0,0,0
312,51635,497099,7,0,0,1,1,0,0,1
313,28648,815999,4,0,0,1,0,0,0,1
314,35255,610399,5,0,0,1,0,0,0,1
315,50045,544799,5,0,0,1,0,0,0,1
316,53544,673899,5,0,0,0,0,0,0,1
317,41091,907299,3,0,0,1,0,0,0,1
318,35879,832799,4,0,0,0,0,0,0,1
319,35325,528099,5,0,0,1,1,0,0,1
320,24937,790799,4,0,0,0,1,0,0,1
321,37045,729899,4,0,0,1,0,0,0,1
322,92132,661999,8,0,0,1,0,0,0,0
323,52655,782399,4,0,0,0,0,0,0,1
324,29974,306299,9,0,0,0,0,0,0,1
325,29761,616599,5,0,0,1,1,0,0,1
326,39392,821399,4,0,1,0,0,0,0,1
327,55051,679499,4,0,0,0,1,0,0,1
328,37580,239999,11,0,0,1,0,0,0,1
329,35898,770499,4,0,0,0,0,0,0,1
330,32303,858399,4,0,0,0,0,0,0,1
331,31686,1293499,2,0,0,1,0,0,0,0
332,40453,834199,4,0,0,0,0,0,0,1
333,79487,323699,8,0,0,0,0,0,0,1
334,21902,345399,3,0,0,1,1,0,0,1
335,39171,749299,4,0,0,0,0,0,0,1
336,41648,532299,7,0,0,0,0,0,0,1
337,39714,907099,4,0,0,0,0,0,0,1
338,18960,450899,2,0,0,1,0,0,0,1
339,6879,445499,2,0,0,1,0,0,0,1
340,13665,436999,2,0,0,1,0,0,0,1
341,108210,610899,5,0,0,0,0,0,0,1
342,29009,1280199,2,0,0,1,0,0,0,0
343,47134,387699,8,0,0,0,0,0,0,1
344,15724,813199,3,0,0,1,0,0,0,1
345,44628,556499,5,0,0,1,0,0,0,1
346,47127,464499,7,0,0,0,1,0,0,1
347,36944,623499,3,0,0,1,0,0,0,1
348,22775,740399,4,0,0,1,1,0,0,1
349,81066,552199,5,0,0,1,0,0,0,1
350,11114,860999,3,0,0,1,0,0,0,1
351,53293,570099,5,0,0,1,0,0,0,0
352,29252,649599,2,0,0,1,1,0,0,1
353,85698,631299,5,0,0,0,0,0,0,1
354,34344,857399,3,0,0,0,0,0,0,1
355,85155,634499,5,0,0,0,0,0,0,1
356,26475,235499,11,0,0,1,0,0,0,1
357,79409,1111899,4,0,0,0,1,0,0,0
358,32251,560399,3,0,0,1,0,0,0,1
359,20330,524799,4,0,0,1,0,0,0,1
360,43375,754799,4,0,0,0,1,0,0,1
361,30319,578099,4,0,0,1,1,0,0,1
362,44809,203099,13,0,0,1,0,0,0,1
363,99879,471299,7,0,0,0,1,0,0,1
364,31879,585599,4,0,0,1,0,0,0,1
365,62798,333199,8,0,0,1,0,0,0,1
366,63337,594999,5,0,0,1,1,0,0,0
367,66981,315099,9,0,0,0,0,0,0,1
368,53046,831199,4,0,0,0,0,0,0,1
369,65801,315099,9,0,0,0,0,0,0,1
370,46400,2019999,3,1,0,0,0,0,0,1
371,83615,366399,9,0,0,0,1,0,0,1
372,51332,832699,4,0,0,1,0,0,0,1
373,46366,746699,4,0,0,0,1,0,0,1
374,51657,636299,6,0,0,1,1,0,0,0
375,116379,783999,7,0,0,0,1,0,0,1
376,7702,931299,1,0,0,1,0,0,0,1
377,3014,401899,3,0,0,1,0,0,0,1
378,4210,401899,3,0,0,1,0,0,0,1
379,32600,464699,5,0,0,1,0,0,0,1
380,50331,303099,9,0,0,0,1,0,0,1
381,68967,327499,9,0,0,0,0,0,0,1
382,89564,333699,8,0,0,0,0,0,0,1
383,53689,874299,3,0,0,0,0,0,0,1
384,66837,699199,4,0,0,0,0,0,0,1
385,16641,371399,3,0,0,1,1,0,0,1
386,7978,969299,3,0,0,1,0,0,0,0
387,38501,668299,3,0,0,1,0,0,0,1
388,78468,354299,9,0,0,0,0,0,0,1
389,144580,309599,9,0,0,0,1,0,0,1
390,32690,777999,3,0,0,0,0,0,0,1
391,113124,595099,5,0,0,0,0,0,0,1
392,50122,834399,3,0,0,0,0,0,0,1
393,72192,645199,5,0,0,1,0,0,0,0
394,100621,363299,7,0,0,0,0,0,0,1
395,63205,634899,5,0,0,1,0,0,0,1
396,19968,1038799,3,0,0,1,0,0,0,1
397,53070,288299,10,0,0,1,0,0,0,1
398,62837,560499,5,0,0,0,0,0,0,1
399,64844,330599,9,0,0,0,0,0,0,1
400,56499,518099,5,0,0,0,0,0,0,1
401,23315,538399,4,0,0,1,0,1,0,1
402,27955,879499,3,0,0,0,1,0,0,0
403,82438,330599,8,0,0,0,1,0,0,1
404,67242,329799,9,0,0,0,0,0,0,1
405,76942,339699,9,0,0,0,0,0,0,1
406,57654,732499,4,0,0,0,0,1,0,1
407,41765,491899,5,0,0,0,1,0,0,1
408,47065,568099,5,0,0,0,0,0,0,1
409,49130,447599,5,0,0,1,0,0,0,1
410,103732,333399,9,0,0,0,1,0,0,1
411,78713,638699,5,0,0,1,0,0,0,0
412,65856,396399,8,0,0,1,1,0,0,1
413,32925,327599,9,0,0,0,0,0,0,1
414,73886,397599,7,0,0,0,0,0,0,1
415,26212,689199,3,0,0,1,0,0,0,1
416,30876,341099,5,0,0,1,0,0,0,1
417,49537,337299,7,0,0,1,1,0,0,1
418,30594,793399,3,0,0,0,0,0,0,1
419,65750,355499,9,0,0,1,0,0,0,1
420,50601,757899,3,0,0,0,0,0,0,1
421,55470,883499,4,0,0,0,0,0,0,0
422,24501,799899,3,0,0,0,1,0,0,1
423,64646,349399,8,0,0,0,0,0,0,1
424,26035,680799,3,0,0,1,0,0,0,1
425,25920,677399,3,0,0,1,0,0,0,1
426,90438,613699,5,0,0,1,0,0,0,0
427,59099,315899,9,0,0,0,0,0,0,1
428,8153,651599,3,0,0,1,0,0,0,1
429,7512,698499,2,0,0,1,0,0,0,1
430,49229,348599,9,0,0,0,0,0,0,1
431,79063,775199,4,0,0,0,0,0,0,1
432,22380,681699,3,0,0,1,0,0,0,1
433,51330,559799,5,0,1,0,0,0,0,1
434,8513,381899,2,0,0,1,0,0,0,1
435,11741,1138399,2,0,0,1,0,0,0,0
436,46611,353899,5,0,0,1,0,0,0,0
437,46222,322399,9,0,0,0,0,0,0,1
438,4437,1095199,2,0,0,1,0,0,0,0
439,30704,875299,3,0,0,0,0,0,0,1
440,82138,1828399,7,1,0,0,1,0,0,0
441,20960,797899,3,0,0,0,0,0,0,1
442,75826,392799,7,0,0,0,0,0,0,1
443,34917,755199,4,0,0,0,0,0,0,1
444,23054,672999,5,0,0,1,0,0,0,1
445,65368,297799,6,0,0,1,0,0,0,1
446,11517,590199,5,0,0,1,0,0,0,1
447,25511,771399,4,0,0,0,0,0,0,1
448,44672,801399,3,0,0,0,0,0,0,1
449,21269,751099,4,0,0,0,0,0,0,1
450,40785,803199,3,0,0,0,0,0,0,1
451,68478,352399,8,0,0,0,0,0,0,1
452,122581,308899,9,0,0,0,0,0,0,1
453,58639,1274699,5,0,0,1,0,0,0,1
454,37721,808499,3,0,0,0,0,0,0,1
455,10385,612499,4,0,0,1,1,0,0,1
456,80447,432399,6,0,0,1,0,0,0,1
457,29117,740899,4,0,0,1,0,0,0,0
458,24379,818699,4,0,0,0,0,0,0,1
459,47583,335699,9,0,0,0,0,0,0,1
460,23879,803199,3,0,0,0,0,0,0,1
461,71940,351899,8,0,0,0,0,0,0,1
462,66221,757999,3,0,0,0,0,0,0,1
463,20098,645199,5,0,0,1,0,0,0,0
464,80843,473499,4,0,1,0,0,0,0,1
465,44253,329399,9,0,0,0,0,0,0,1
466,45699,329499,9,0,0,0,0,0,0,1
467,87251,429999,6,0,0,1,0,0,0,1
468,44096,347199,9,0,0,0,0,0,0,1
469,68431,325299,9,0,0,0,0,0,0,1
470,12225,488499,4,0,0,1,0,0,0,1
471,16076,614599,4,0,0,1,0,0,0,1
472,19362,1741699,2,0,0,0,0,0,0,0
473,55515,422999,6,0,0,1,0,0,0,1
474,21569,627399,4,0,0,1,0,0,0,1
475,36183,499999,4,0,0,1,0,0,0,1
476,20135,667799,3,0,0,1,0,0,0,1
477,109227,304299,10,0,0,0,0,0,0,1
478,54354,404999,8,0,0,0,0,0,0,1
479,16964,508599,7,0,0,0,0,0,0,1
480,69784,369299,8,0,0,0,0,0,0,1
481,26030,329199,10,0,0,1,0,0,0,1
482,63661,369899,8,0,0,0,0,0,0,1
483,77659,365499,9,0,0,0,0,0,0,1
484,34777,509699,4,0,0,1,0,0,0,1
485,83356,1011199,5,0,0,0,1,0,0,1
486,48031,1261499,4,0,0,0,0,0,0,1
487,70395,498399,5,0,0,1,0,0,0,1
488,25138,414099,5,0,0,1,0,0,0,1
489,23952,343099,9,0,0,0,0,0,0,1
490,40743,451899,5,0,0,1,0,0,0,1
491,45765,420999,8,0,0,1,0,0,0,1
492,61862,405799,7,0,0,0,1,0,0,1
493,131211,295899,9,0,0,0,0,0,0,1
494,90501,1190899,5,0,0,0,0,0,0,0
495,26369,515099,1,0,1,0,0,0,0,1
496,46556,395599,7,0,0,0,0,0,0,1
497,59025,343199,8,0,0,0,0,0,0,1
498,19738,354799,4,0,0,1,0,0,0,1
499,36243,468899,5,0,0,1,0,0,0,1
500,61990,374699,8,0,0,0,0,0,0,1
501,61754,401299,8,0,0,1,1,0,0,1
502,17557,1106099,2,0,0,1,0,0,0,0
503,18191,1104299,2,0,0,0,0,0,0,0
504,39431,201399,13,0,0,1,0,0,0,1
505,38771,502099,5,0,0,1,0,0,0,1
506,39364,490199,6,0,0,0,0,0,0,1
507,49443,375999,8,0,0,0,1,0,0,1
508,70807,390299,9,0,0,0,0,0,0,1
509,87532,380099,8,0,0,0,0,0,0,1
510,53954,856099,3,0,0,0,0,0,0,1
511,8440,640599,2,0,0,1,0,0,0,0
512,38371,351499,8,0,0,0,0,0,0,1
513,84848,407799,7,0,0,1,1,0,0,1
514,37117,475199,5,0,0,1,0,0,0,1
515,23622,674599,5,0,0,1,0,0,0,0
516,24055,346699,4,0,0,1,0,0,0,1
517,34424,1561899,2,0,0,0,1,0,0,0
518,23733,612599,4,0,0,1,1,0,0,1
519,21621,394999,3,0,0,1,0,0,0,1
520,13223,592299,2,0,0,1,1,0,0,1
521,36011,367999,9,0,0,1,0,0,0,1
522,25484,472899,4,0,0,1,0,0,0,1
523,35977,386299,8,0,0,0,0,0,0,1
524,44171,388299,7,0,0,0,0,0,0,1
525,10875,540399,1,0,1,0,0,0,0,1
526,76882,405399,8,0,0,1,0,0,0,1
527,35745,291899,9,0,0,1,0,0,0,1
528,24590,621699,5,0,0,1,1,0,0,0
529,28505,350799,9,0,0,1,0,0,0,1
530,44857,428499,6,0,0,1,1,0,0,1
531,54963,377499,8,0,0,0,0,0,0,1
532,24700,386199,9,0,0,0,0,0,0,1
533,46790,390899,7,0,0,0,0,0,0,1
534,39465,416099,8,0,0,0,0,0,0,1
535,9596,390299,3,0,0,1,0,0,0,1
536,48022,404499,7,0,0,0,0,0,0,1
537,59831,347199,10,0,0,1,0,0,0,1
538,49562,389999,7,0,0,0,0,0,0,1
539,51483,457699,7,0,0,0,0,0,0,1
540,45298,399099,7,0,0,0,0,0,0,1
541,73737,385999,8,0,0,0,0,0,0,1
542,37503,1408299,3,0,0,0,0,0,0,1
543,10350,342699,8,0,0,1,0,0,0,1
544,25018,509799,5,0,0,1,1,0,0,1
545,54894,298299,8,0,0,0,0,0,0,1
546,14186,399099,3,0,0,1,0,0,0,1
547,57070,416399,7,0,0,0,0,0,0,1
548,40458,359499,9,0,0,0,0,0,0,1
549,42154,369099,8,0,0,0,0,0,0,1
550,53692,488699,7,0,0,0,1,0,0,1
551,58015,442299,7,0,0,1,0,0,0,1
552,66564,350199,9,0,0,0,0,0,0,1
553,63631,462899,7,0,0,0,0,0,0,1
554,24544,402199,9,0,0,0,0,0,0,1
555,69864,432499,7,0,0,0,0,0,0,1
556,77213,386799,7,0,0,0,0,0,0,1
557,29937,323399,8,0,0,1,1,0,0,1
558,20068,451899,5,0,0,1,0,0,0,1
559,34900,419299,6,0,0,1,0,1,0,1
560,45605,494099,6,0,0,1,0,0,0,1
561,76094,456699,7,0,0,0,0,0,0,1
562,65741,448399,7,0,0,0,0,0,0,1
563,107106,335799,8,0,0,0,0,0,0,1
564,78761,350499,9,0,0,0,0,0,0,1
565,15604,479199,4,0,0,1,0,0,0,0
566,9398,389899,4,0,0,1,0,0,0,0
567,33489,380399,8,0,0,0,0,0,0,1
