Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
0,""" Manual""",""" 1st Owner""", Petrol,8339,394000.0,NULL,337599, Ahmedabad, 2016 Maruti Alto K10 VXI Manual,6,472800.0
1,""" Automatic""",""" 1st Owner""", Petrol,950,NULL,1859000.0,1630999, Ahmedabad, 2021 Mahindra Thar LX PETROL AT 4WD Automatic,1,1859000.0
2,""" Manual""",""" 1st Owner""", Petrol,7831,573000.0,NULL,629599, Ahmedabad, 2021 Maruti Swift LXI Manual,1,687600.0
3,""" Manual""",""" 1st Owner""", Petrol,21596,1129000.0,1304929.0,1039099, Ahmedabad, 2020 Maruti Ertiga ZXI Plus SHVS Manual,2,1304929.0
4,""" Manual""",""" 1st Owner""", Petrol,29438,1129000.0,1304929.0,1039099, Ahmedabad, 2020 Maruti Ertiga ZXI Plus SHVS Manual,2,1304929.0
5,""" Manual""",""" 1st Owner""", Petrol,58962,479000.0,NULL,382799, Ahmedabad, 2015 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,7,574800.0
6,""" Manual""",""" 1st Owner""", Petrol,5645,1055000.0,NULL,991099, Ahmedabad, 2020 Tata NEXON XZ+ 1.2 Manual,2,1266000.0
7,""" Manual""",""" 1st Owner""", Petrol,3586,NULL,630000.0,580599, Ahmedabad, 2020 Maruti New  Wagon-R VXI 1.0 Manual,2,630000.0
8,""" Automatic""",""" 1st Owner""", Diesel,40422,NULL,3618000.0,1968199, Ahmedabad, 2018 Audi A3 35TDI PREMIUM Automatic,4,3618000.0
9,""" Manual""",""" 1st Owner""", Petrol,38635,450000.0,NULL,367599, Ahmedabad, 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7,540000.0
10,""" Manual""",""" 1st Owner""", Diesel,68394,850000.0,NULL,584199, Ahmedabad, 2017 Volkswagen Polo HIGHLINE1.5L DIESEL Manual,5,1020000.0
11,""" Manual""",""" 1st Owner""", Diesel,3378,NULL,1843000.0,1673799, Ahmedabad, 2021 Hyundai Creta SX MT Manual,1,1843000.0
12,""" Manual""",""" 1st Owner""", Petrol,13842,NULL,697000.0,576699, Ahmedabad, 2016 Maruti Swift VXI OPT Manual,6,697000.0
13,""" Automatic""",""" 1st Owner""", Petrol,18829,694000.0,NULL,579799, Ahmedabad, 2017 Honda Brio 1.2 VX AT I VTEC Automatic,5,832800.0
14,""" Manual""",""" 1st Owner""", Petrol,8543,619000.0,NULL,656599, Ahmedabad, 2021 Maruti Swift VXI Manual,1,742800.0
15,""" Manual""",""" 1st Owner""", Petrol,38507,NULL,607000.0,491199, Ahmedabad, 2018 Maruti Celerio VXI Manual,4,607000.0
16,""" Automatic""",""" 1st Owner""", Petrol,12467,993000.0,NULL,1102499, Ahmedabad, 2021 Volkswagen Polo GT TSI AT 1.0 Automatic,1,1191600.0
17,""" Manual""",""" 1st Owner""", Diesel,52410,1674000.0,NULL,1487699, Ahmedabad, 2018 Toyota Innova Crysta 2.4 GX 7 STR Manual,4,2008800.0
18,""" Manual""",""" 1st Owner""", Petrol,16721,383000.0,NULL,381799, Ahmedabad, 2018 Renault Kwid 1.0 RXT Opt Manual,4,459600.0
19,""" Manual""",""" 1st Owner""", Petrol,37711,619000.0,NULL,563799, Ahmedabad, 2019 Maruti Swift VXI Manual,3,742800.0
20,""" Manual""",""" 1st Owner""", Petrol,10024,NULL,520000.0,468199, Ahmedabad, 2020 Maruti S PRESSO VXI Manual,2,520000.0
21,""" Manual""",""" 1st Owner""", Petrol,20605,NULL,685000.0,564299, Ahmedabad, 2019 Maruti New  Wagon-R ZXI 1.2 Manual,3,685000.0
22,""" Manual""",""" 1st Owner""", Petrol,39435,NULL,605000.0,499899, Ahmedabad, 2015 Maruti Swift VXI Manual,7,605000.0
23,""" Manual""",""" 1st Owner""", Petrol,47367,450000.0,NULL,371599, Ahmedabad, 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7,540000.0
24,""" Manual""",""" 1st Owner""", Petrol,26980,623000.0,NULL,588899, Ahmedabad, 2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,4,747600.0
25,""" Manual""",""" 1st Owner""", Petrol,41268,450000.0,NULL,371599, Ahmedabad, 2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7,540000.0
26,""" Manual""",""" 1st Owner""", Petrol,31321,NULL,607000.0,492399, Ahmedabad, 2018 Maruti Celerio VXI Manual,4,607000.0
27,""" Manual""",""" 1st Owner""", Petrol,36695,NULL,605000.0,486699, Ahmedabad, 2015 Maruti Swift VXI Manual,7,605000.0
28,""" Manual""",""" 1st Owner""", Petrol,34834,420000.0,NULL,349999, Ahmedabad, 2014 Maruti Celerio VXI Manual,8,504000.0
29,""" Manual""",""" 1st Owner""", Petrol,40074,710000.0,NULL,563199, Ahmedabad, 2016 Volkswagen Polo HIGHLINE1.2L PETROL Manual,6,852000.0
30,""" Manual""",""" 1st Owner""", Petrol,31436,383000.0,NULL,360699, Ahmedabad, 2018 Renault Kwid 1.0 RXT Opt Manual,4,459600.0
31,""" Manual""",""" 1st Owner""", Petrol,5306,725000.0,NULL,804399, Ahmedabad, 2020 Hyundai VENUE S MT 1.2 KAPPA Manual,2,870000.0
32,""" Manual""",""" 1st Owner""", Petrol,38732,520000.0,NULL,400899, Ahmedabad, 2015 Honda Brio 1.2 S MT I VTEC Manual,7,624000.0
33,""" Manual""",""" 1st Owner""", Petrol,24576,420000.0,607000.0,420099, Ahmedabad, 2017 Maruti Celerio VXI Manual,5,607000.0
34,""" Manual""",""" 1st Owner""", Petrol,26929,NULL,564000.0,475999, Ahmedabad, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
35,""" Manual""",""" 1st Owner""", Petrol,71052,NULL,530000.0,408299, Ahmedabad, 2013 Maruti Swift VXI Manual,9,530000.0
36,""" Manual""",""" 1st Owner""", Petrol,30814,383000.0,NULL,346699, Ahmedabad, 2018 Renault Kwid 1.0 RXT Opt Manual,4,459600.0
37,""" Automatic""",""" 1st Owner""", Petrol,47869,481000.0,NULL,399699, Ahmedabad, 2015 Maruti Celerio VXI AMT Automatic,7,577200.0
38,""" Manual""",""" 1st Owner""", Diesel,46351,692000.0,NULL,526899, Ahmedabad, 2015 Maruti Swift ZDI Manual,7,830400.0
39,""" Manual""",""" 1st Owner""", Petrol,9793,408000.0,NULL,422999, Ahmedabad, 2021 Maruti Alto LXI Manual,1,489600.0
40,""" Manual""",""" 1st Owner""", Petrol,10273,350000.0,NULL,390599, Ahmedabad, 2020 Maruti Alto LXI Manual,2,420000.0
41,""" Manual""",""" 1st Owner""", Petrol,22649,NULL,1151000.0,976299, Ahmedabad, 2021 Volkswagen Vento COMFORTLINE 1.0 TSI MT Manual,1,1151000.0
42,""" Manual""",""" 1st Owner""", Petrol,32030,NULL,607000.0,490399, Ahmedabad, 2019 Maruti Celerio VXI Manual,3,607000.0
43,""" Manual""",""" 1st Owner""", Petrol,14071,540000.0,NULL,513799, Ahmedabad, 2019 Maruti Celerio X Zxi Manual,3,648000.0
44,""" Manual""",""" 1st Owner""", Petrol,80441,NULL,605000.0,469899, Ahmedabad, 2014 Maruti Swift VXI Manual,8,605000.0
45,""" Manual""",""" 1st Owner""", Diesel,281380,NULL,1805000.0,700099, Ahmedabad, 2013 Toyota Innova 2.5 VX 8 STR BS IV Manual,9,1805000.0
46,""" Manual""",""" 1st Owner""", Diesel,9069,NULL,1151000.0,930699, Ahmedabad, 2020 Ford Ecosport 1.5TITANIUM TDCI Manual,2,1151000.0
47,""" Manual""",""" 1st Owner""", Petrol,46384,619000.0,NULL,563799, Ahmedabad, 2019 Maruti Swift VXI Manual,3,742800.0
48,""" Manual""",""" 1st Owner""", Petrol,22698,437000.0,NULL,422199, Ahmedabad, 2016 Maruti Wagon R 1.0 VXI Manual,6,524400.0
49,""" Manual""",""" 1st Owner""", Diesel,49531,966000.0,NULL,708599, Ahmedabad, 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6,1159200.0
50,""" Manual""",""" 1st Owner""", Petrol,96801,NULL,632000.0,413999, Ahmedabad, 2014 Hyundai i20 SPORTZ 1.2 VTVT Manual,8,632000.0
51,""" Manual""",""" 1st Owner""", Petrol,24963,429000.0,NULL,457999, Ahmedabad, 2020 Renault Kwid Neotech Petrol 1.0 Manual,2,514800.0
52,""" Manual""",""" 1st Owner""", Petrol,19935,524000.0,NULL,487199, Ahmedabad, 2020 Renault Kwid 1.0 CLIMBER OPT Manual,2,628800.0
53,""" Manual""",""" 1st Owner""", Diesel,57552,NULL,1725000.0,1141499, Ahmedabad, 2019 Mahindra XUV500 W7 FWD Manual,3,1725000.0
54,""" Manual""",""" 1st Owner""", Petrol,26493,599000.0,NULL,588799, Ahmedabad, 2019 Renault TRIBER 1.0 RXT Manual,3,718800.0
55,""" Automatic""",""" 1st Owner""", Diesel,84312,1974000.0,NULL,1390199, Ahmedabad, 2019 Mahindra XUV500 W11 AT Automatic,3,2368800.0
56,""" Manual""",""" 1st Owner""", Petrol,12576,287000.0,NULL,236199, Ahmedabad, 2017 Datsun Redi Go A Manual,5,344400.0
57,""" Manual""",""" 1st Owner""", Petrol,87049,899000.0,NULL,672599, Ahmedabad, 2016 Honda City V MT PETROL Manual,6,1078800.0
58,""" Automatic""",""" 1st Owner""", Petrol,9459,514000.0,NULL,430099, Ahmedabad, 2016 Maruti Wagon R 1.0 VXI AMT Automatic,6,616800.0
59,""" Manual""",""" 1st Owner""", Petrol,43882,732000.0,NULL,699699, Ahmedabad, 2018 Honda Jazz 1.2 V MT Manual,4,878400.0
60,""" Manual""",""" 1st Owner""", Diesel,35356,1676000.0,NULL,1357199, Ahmedabad, 2019 Tata Harrier XZ 2.0L Kryotec Manual,3,2011200.0
61,""" Manual""",""" 1st Owner""", Petrol,71188,480000.0,NULL,436499, Ahmedabad, 2018 Maruti Celerio ZXI Manual,4,576000.0
62,""" Manual""",""" 1st Owner""", Petrol,51748,NULL,605000.0,441199, Ahmedabad, 2014 Maruti Swift VXI Manual,8,605000.0
63,""" Manual""",""" 1st Owner""", Petrol,79113,540000.0,NULL,455799, Ahmedabad, 2018 Maruti Celerio X Zxi Manual,4,648000.0
64,""" Automatic""",""" 1st Owner""", Petrol,10501,1776000.0,NULL,1827699, Ahmedabad, 2020 MG HECTOR SHARP DCT PETROL Automatic,2,2131200.0
65,""" Manual""",""" 1st Owner""", Petrol,14833,NULL,1259000.0,1012399, Ahmedabad, 2019 Hyundai VENUE 1.0L Turbo GDI SX(O) MT Manual,3,1259000.0
66,""" Manual""",""" 1st Owner""", Petrol,59933,NULL,1044000.0,550199, Ahmedabad, 2015 Volkswagen Vento HIGHLINE PETROL Manual,7,1044000.0
67,""" Manual""",""" 1st Owner""", Petrol,46277,400000.0,NULL,264799, Ahmedabad, 2013 Hyundai Eon ERA PLUS Manual,9,480000.0
68,""" Manual""",""" 1st Owner""", Petrol,10038,NULL,530000.0,402699, Ahmedabad, 2019 Maruti S PRESSO VXI PLUS Manual,3,530000.0
69,""" Manual""",""" 1st Owner""", Diesel,149068,NULL,2431000.0,1030399, Ahmedabad, 2017 Jeep Compass 2.0 LIMITED 4*2 Manual,5,2431000.0
70,""" Manual""",""" 1st Owner""", Petrol,4646,NULL,895000.0,819499, Ahmedabad, 2021 Maruti Vitara Brezza LXI Manual,1,895000.0
71,""" Manual""",""" 1st Owner""", Diesel,150355,966000.0,NULL,707799, Ahmedabad, 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6,1159200.0
72,""" Automatic""",""" 1st Owner""", Petrol,59803,637000.0,NULL,645599, Ahmedabad, 2018 Maruti Swift VXI AMT Automatic,4,764400.0
73,""" Automatic""",""" 1st Owner""", Petrol,25480,1945000.0,NULL,1395799, Ahmedabad, 2019 Honda Civic VX CVT i-VTEC Automatic,3,2334000.0
74,""" Automatic""",""" 1st Owner""", Petrol,40145,976000.0,NULL,892999, Ahmedabad, 2020 Volkswagen Polo GT TSI AT 1.0 Automatic,2,1171200.0
75,""" Manual""",""" 1st Owner""", Diesel,52970,1269000.0,NULL,1353099, Ahmedabad, 2020 KIA SELTOS HTK PLUS 1.5 DIESEL Manual,2,1522800.0
76,""" Automatic""",""" 1st Owner""", Petrol,95439,1307000.0,NULL,868099, Ahmedabad, 2018 Honda City VX CVT PETROL Automatic,4,1568400.0
77,""" Manual""",""" 1st Owner""", Petrol,72969,NULL,605000.0,481099, Ahmedabad, 2016 Maruti Swift VXI Manual,6,605000.0
78,""" Manual""",""" 1st Owner""", Diesel,115157,NULL,1842000.0,1091199, Ahmedabad, 2018 Mahindra XUV500 W9 Manual,4,1842000.0
79,""" Manual""",""" 1st Owner""", Petrol,6580,NULL,1059000.0,879699, Ahmedabad, 2021 Maruti Vitara Brezza VXI Manual,1,1059000.0
80,""" Manual""",""" 1st Owner""", Petrol,24211,732000.0,NULL,709099, Ahmedabad, 2018 Honda Jazz 1.2 V MT Manual,4,878400.0
81,""" Automatic""",""" 1st Owner""", Petrol,31889,NULL,1592000.0,1278099, Ahmedabad, 2019 Hyundai Creta 1.6 VTVT SX AUTO Automatic,3,1592000.0
82,""" Manual""",""" 1st Owner""", Diesel,87343,NULL,686000.0,395499, Ahmedabad, 2017 Hyundai Grand i10 magna 1.2 crdi Manual,5,686000.0
83,""" Manual""",""" 1st Owner""", Petrol,9057,NULL,1388000.0,1023299, Ahmedabad, 2020 Hyundai VENUE SX 1.0 GDI IMT Manual,2,1388000.0
84,""" Manual""",""" 1st Owner""", Petrol,26962,NULL,595000.0,514199, Ahmedabad, 2016 Maruti Baleno SIGMA 1.2 K12 Manual,6,595000.0
85,""" Manual""",""" 1st Owner""", Petrol,40054,NULL,653000.0,546099, Ahmedabad, 2016 Honda Amaze 1.2 SMT I VTEC Manual,6,653000.0
86,""" Automatic""",""" 1st Owner""", Diesel,58756,NULL,1790000.0,1192499, Ahmedabad, 2018 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,4,1790000.0
87,""" Manual""",""" 1st Owner""", Diesel,18392,NULL,1136000.0,943399, Ahmedabad, 2019 Ford Ecosport 1.5TITANIUM TDCI Manual,3,1136000.0
88,""" Manual""",""" 1st Owner""", Petrol,7807,NULL,612000.0,523099, Ahmedabad, 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5,612000.0
89,""" Automatic""",""" 1st Owner""", Petrol,3195,833000.0,NULL,1045599, Ahmedabad, 2021 Maruti Baleno ZETA 1.2 K12 CVT Automatic,1,999600.0
90,""" Manual""",""" 1st Owner""", Petrol,75970,520000.0,NULL,352399, Ahmedabad, 2015 Honda Brio 1.2 S MT I VTEC Manual,7,624000.0
91,""" Automatic""",""" 1st Owner""", Petrol,13069,1288000.0,NULL,1378499, Ahmedabad, 2020 Honda City VX CVT PETROL Automatic,2,1545600.0
92,""" Manual""",""" 1st Owner""", Petrol,15740,326000.0,NULL,309499, Ahmedabad, 2017 Maruti Alto 800 VXI Manual,5,391200.0
93,""" Manual""",""" 1st Owner""", Petrol,58517,491000.0,NULL,492799, Ahmedabad, 2019 Maruti Celerio ZXI Manual,3,589200.0
94,""" Manual""",""" 1st Owner""", Petrol,28022,NULL,706000.0,541699, Ahmedabad, 2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,3,706000.0
95,""" Manual""",""" 1st Owner""", Petrol,6234,507000.0,NULL,525599, Ahmedabad, 2020 Hyundai NEW SANTRO SPORTZ 1.1 Manual,2,608400.0
96,""" Manual""",""" 1st Owner""", Diesel,49622,NULL,1136000.0,787399, Ahmedabad, 2019 Ford Ecosport 1.5TITANIUM TDCI Manual,3,1136000.0
97,""" Automatic""",""" 1st Owner""", Diesel,40336,1329000.0,NULL,1088199, Ahmedabad, 2019 Hyundai Verna 1.6 CRDI SX + AT Automatic,3,1594800.0
98,""" Manual""",""" 1st Owner""", Diesel,59671,560000.0,NULL,588699, Ahmedabad, 2016 Hyundai Elite i20 ASTA 1.4 CRDI Manual,6,672000.0
99,""" Manual""",""" 1st Owner""", Petrol,16642,385000.0,NULL,323699, Ahmedabad, 2016 Hyundai Eon ERA PLUS Manual,6,462000.0
100,""" Automatic""",""" 1st Owner""", Petrol,17142,1256000.0,NULL,1011499, Ahmedabad, 2018 Hyundai Verna 1.6 SX VTVT AT (O) Automatic,4,1507200.0
101,""" Automatic""",""" 1st Owner""", Diesel,25302,NULL,979000.0,842699, Ahmedabad, 2019 Honda Amaze VX AT I DTEC Automatic,3,979000.0
102,""" Manual""",""" 1st Owner""", Petrol,41419,NULL,630000.0,571299, Ahmedabad, 2019 Maruti New  Wagon-R VXI 1.2L Manual,3,630000.0
103,""" Manual""",""" 1st Owner""", Petrol,19124,NULL,770000.0,632999, Ahmedabad, 2020 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual,2,770000.0
104,""" Manual""",""" 1st Owner""", Petrol,21363,686000.0,NULL,730999, Ahmedabad, 2021 Maruti Baleno DELTA 1.2 K12 Manual,1,823200.0
105,""" Manual""",""" 1st Owner""", Petrol,54537,437000.0,NULL,392899, Ahmedabad, 2016 Maruti Wagon R 1.0 VXI Manual,6,524400.0
106,""" Manual""",""" 1st Owner""", Petrol,55308,NULL,564000.0,475999, Ahmedabad, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
107,""" Automatic""",""" 1st Owner""", Diesel,83685,NULL,1790000.0,1220699, Ahmedabad, 2018 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,4,1790000.0
108,""" Automatic""",""" 1st Owner""", Diesel,49490,1295000.0,NULL,936899, Ahmedabad, 2018 Hyundai Verna 1.6 CRDI SX + AT Automatic,4,1554000.0
109,""" Manual""",""" 1st Owner""", Petrol,48280,NULL,897000.0,638499, Ahmedabad, 2016 Maruti Ciaz VXI PLUS Manual,6,897000.0
110,""" Manual""",""" 1st Owner""", Petrol,19762,999000.0,NULL,1107499, Ahmedabad, 2019 KIA SELTOS HTK 1.5 PETROL Manual,3,1198800.0
111,""" Manual""",""" 1st Owner""", Petrol,9239,NULL,612000.0,510699, Ahmedabad, 2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5,612000.0
112,""" Manual""",""" 1st Owner""", Diesel,33038,NULL,1151000.0,913399, Ahmedabad, 2020 Ford Ecosport 1.5TITANIUM TDCI Manual,2,1151000.0
113,""" Manual""",""" 1st Owner""", Diesel,42468,1173000.0,NULL,888099, Ahmedabad, 2019 Hyundai Verna 1.6 CRDI SX Manual,3,1407600.0
114,""" Manual""",""" 1st Owner""", Petrol,34759,NULL,572000.0,394599, Ahmedabad, 2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,8,572000.0
115,""" Manual""",""" 1st Owner""", Diesel,37237,NULL,2431000.0,1326099, Ahmedabad, 2018 Jeep Compass 2.0 LIMITED Manual,4,2431000.0
116,""" Manual""",""" 1st Owner""", Petrol,58839,NULL,755000.0,566199, Ahmedabad, 2015 Maruti Baleno ZETA 1.2 K12 Manual,7,755000.0
117,""" Manual""",""" 1st Owner""", Diesel,150727,NULL,1450000.0,795499, Ahmedabad, 2015 Hyundai Creta 1.6 SX (O) CRDI Manual,7,1450000.0
118,""" Manual""",""" 1st Owner""", Petrol,20824,307000.0,NULL,304599, Ahmedabad, 2017 Maruti Alto 800 LXI Manual,5,368400.0
119,""" Manual""",""" 1st Owner""", Petrol,51364,425000.0,NULL,440699, Ahmedabad, 2019 Hyundai NEW SANTRO ERA 1.1 Manual,3,510000.0
120,""" Manual""",""" 1st Owner""", Petrol,75671,307000.0,NULL,302099, Ahmedabad, 2017 Maruti Alto 800 LXI Manual,5,368400.0
121,""" Automatic""",""" 1st Owner""", Petrol,21353,NULL,812000.0,636999, Ahmedabad, 2017 Hyundai Grand i10 SPORTZ (O) 1.2 AT VTVT Automatic,5,812000.0
122,""" Manual""",""" 1st Owner""", Petrol,5848,NULL,530000.0,419599, Ahmedabad, 2019 Maruti S PRESSO VXI PLUS Manual,3,530000.0
123,""" Manual""",""" 1st Owner""", Petrol,49314,NULL,564000.0,477099, Ahmedabad, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
124,""" Manual""",""" 1st Owner""", Petrol,45502,725000.0,NULL,883099, Ahmedabad, 2020 Hyundai VENUE S MT 1.2 KAPPA Manual,2,870000.0
125,""" Manual""",""" 1st Owner""", Petrol + CNG,69738,NULL,833000.0,633499, Ahmedabad, 2019 Honda Amaze 1.2 SMT I VTEC Manual,3,833000.0
126,""" Manual""",""" 1st Owner""", Petrol,98828,385000.0,NULL,335699, Ahmedabad, 2014 Maruti Wagon R 1.0 VXI Manual,8,462000.0
127,""" Manual""",""" 1st Owner""", Petrol,14257,386000.0,NULL,297799, Ahmedabad, 2017 Datsun Redi Go S 1.0 Manual,5,463200.0
128,""" Manual""",""" 1st Owner""", Petrol,16757,NULL,564000.0,480099, Ahmedabad, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
129,""" Manual""",""" 1st Owner""", Petrol,88370,NULL,612000.0,441699, Ahmedabad, 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,6,612000.0
130,""" Manual""",""" 1st Owner""", Petrol,9204,698000.0,NULL,776999, Ahmedabad, 2020 Maruti Baleno ZETA 1.2 K12 Manual,2,837600.0
131,""" Manual""",""" 1st Owner""", Diesel,72123,NULL,1450000.0,1226599, Ahmedabad, 2018 Hyundai Creta 1.6 SX (O) CRDI Manual,4,1450000.0
132,""" Manual""",""" 1st Owner""", Petrol,28632,NULL,772000.0,606599, Ahmedabad, 2019 Maruti Baleno DELTA 1.2 K12 Manual,3,772000.0
133,""" Automatic""",""" 1st Owner""", Diesel,90181,NULL,1790000.0,871899, Ahmedabad, 2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5,1790000.0
134,""" Manual""",""" 1st Owner""", Petrol,50714,562000.0,678000.0,538299, Ahmedabad, 2017 Maruti Swift VXI Manual,5,678000.0
135,""" Manual""",""" 1st Owner""", Petrol,11247,393000.0,NULL,494899, Ahmedabad, 2020 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,2,471600.0
136,""" Manual""",""" 1st Owner""", Diesel,100430,NULL,2431000.0,997499, Ahmedabad, 2017 Jeep Compass 2.0 LIMITED Manual,5,2431000.0
137,""" Manual""",""" 1st Owner""", Petrol,10123,673000.0,NULL,611799, Ahmedabad, 2018 Hyundai Xcent SX 1.2 Manual,4,807600.0
138,""" Manual""",""" 1st Owner""", Petrol,39550,355000.0,NULL,441899, Ahmedabad, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,426000.0
139,""" Manual""",""" 1st Owner""", Petrol,15300,371000.0,NULL,343999, Ahmedabad, 2017 Hyundai Eon ERA PLUS Manual,5,445200.0
140,""" Manual""",""" 1st Owner""", Petrol,10006,307000.0,NULL,312099, Ahmedabad, 2017 Maruti Alto 800 LXI Manual,5,368400.0
141,""" Manual""",""" 1st Owner""", Petrol,20748,712000.0,NULL,770199, Ahmedabad, 2018 Hyundai Elite i20 ASTA 1.2 Manual,4,854400.0
142,""" Manual""",""" 1st Owner""", Petrol,4933,NULL,535000.0,536899, Ahmedabad, 2020 Maruti IGNIS SIGMA 1.2 K12 Manual,2,535000.0
143,""" Manual""",""" 1st Owner""", Petrol,64886,698000.0,NULL,741899, Ahmedabad, 2020 Maruti Baleno ZETA 1.2 K12 Manual,2,837600.0
144,""" Manual""",""" 1st Owner""", Diesel,41465,966000.0,NULL,787399, Ahmedabad, 2016 Maruti Vitara Brezza ZDI PLUS DUAL TONE Manual,6,1159200.0
145,""" Manual""",""" 1st Owner""", Petrol,70427,NULL,612000.0,441699, Ahmedabad, 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,6,612000.0
146,""" Manual""",""" 1st Owner""", Petrol,73191,NULL,612000.0,441699, Ahmedabad, 2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,6,612000.0
147,""" Manual""",""" 1st Owner""", Petrol,12536,NULL,706000.0,628799, Ahmedabad, 2019 Hyundai Grand i10 1.2 KAPPA SPORTZ (O) Manual,3,706000.0
148,""" Manual""",""" 1st Owner""", Petrol,11634,350000.0,NULL,378299, Ahmedabad, 2020 Maruti Alto LXI Manual,2,420000.0
149,""" Manual""",""" 1st Owner""", Petrol,6279,645000.0,NULL,644899, Ahmedabad, 2020 Maruti Baleno DELTA 1.2 K12 Manual,2,774000.0
150,""" Manual""",""" 1st Owner""", Petrol,15568,355000.0,NULL,436799, Ahmedabad, 2017 Maruti Eeco 5 STR WITH AC PLUSHTR Manual,5,426000.0
151,""" Manual""",""" 1st Owner""", Diesel,60946,NULL,2431000.0,1425399, Ahmedabad, 2019 Jeep Compass 2.0 LIMITED Manual,3,2431000.0
152,""" Automatic""",""" 1st Owner""", Diesel,74829,1919000.0,NULL,1349299, Ahmedabad, 2017 Hyundai New Elantra 1.6 SX AT O Automatic,5,2302800.0
153,""" Manual""",""" 1st Owner""", Diesel,61569,791000.0,NULL,686699, Ahmedabad, 2017 Maruti Vitara Brezza VDI OPT Manual,5,949200.0
154,""" Automatic""",""" 1st Owner""", Petrol,94609,1307000.0,NULL,882099, Ahmedabad, 2018 Honda City VX CVT PETROL Automatic,4,1568400.0
155,""" Manual""",""" 1st Owner""", Petrol,3627,645000.0,NULL,696299, Ahmedabad, 2020 Maruti Baleno DELTA 1.2 K12 Manual,2,774000.0
156,""" Manual""",""" 1st Owner""", Petrol,10575,428000.0,NULL,425899, Ahmedabad, 2020 Maruti Alto VXI Manual,2,513600.0
157,""" Manual""",""" 1st Owner""", Petrol,7779,1301000.0,NULL,1441799, Ahmedabad, 2020 Honda City ZX MT PETROL Manual,2,1561200.0
158,""" Manual""",""" 1st Owner""", Petrol,31386,307000.0,NULL,320399, Ahmedabad, 2017 Maruti Alto 800 LXI Manual,5,368400.0
159,""" Manual""",""" 1st Owner""", Petrol,2385,686000.0,NULL,754399, Ahmedabad, 2021 Maruti Baleno DELTA 1.2 K12 Manual,1,823200.0
160,""" Manual""",""" 1st Owner""", Petrol,30916,NULL,612000.0,496699, Ahmedabad, 2016 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,6,612000.0
161,""" Manual""",""" 1st Owner""", Petrol,6188,645000.0,NULL,664999, Ahmedabad, 2020 Maruti Baleno DELTA 1.2 K12 Manual,2,774000.0
162,""" Manual""",""" 1st Owner""", Diesel,64465,NULL,1136000.0,906899, Ahmedabad, 2019 Ford Ecosport 1.5TITANIUM TDCI Manual,3,1136000.0
163,""" Automatic""",""" 1st Owner""", Petrol,29880,1288000.0,NULL,1334199, Ahmedabad, 2020 Honda City VX CVT PETROL Automatic,2,1545600.0
164,""" Manual""",""" 1st Owner""", Petrol,32628,NULL,564000.0,488199, Ahmedabad, 2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT Manual,5,564000.0
165,""" Manual""",""" 1st Owner""", Petrol,43500,600000.0,NULL,559499, Ahmedabad, 2017 Hyundai Elite i20 Magna Executive 1.2 Manual,5,720000.0
166,""" Manual""",""" 1st Owner""", Petrol,58187,781000.0,NULL,636599, Ahmedabad, 2016 Hyundai Elite i20 ASTA 1.2 (O) Manual,6,937200.0
167,""" Manual""",""" 1st Owner""", Petrol,27558,386000.0,NULL,292699, Ahmedabad, 2017 Datsun Redi Go S 1.0 Manual,5,463200.0
168,""" Manual""",""" 1st Owner""", Diesel,82230,992000.0,NULL,587299, Ahmedabad, 2016 Maruti S Cross ZETA 1.3 Manual,6,1190400.0
