Sl_No,Transmission_Type,Ownership,Fuel_Used,km_driven,Ex_Showroom_Price,On_road_Price,selling_price,Place_of_Origin,Complete_Info,Age,MRP
2582,""" Manual""",""" 1st Owner""", Diesel,30362,NULL,792000.0,773799, Mumbai, 2018 Maruti Dzire ZDI Plus Manual,4,792000.0
2583,""" Manual""",""" 1st Owner""", Diesel,50971,1104000.0,NULL,852699, Mumbai, 2018 Ford Ecosport 1.5 TDCI TITANIUM PLUS Manual,4,1324800.0
2584,""" Automatic""",""" 1st Owner""", Petrol,32505,1052000.0,NULL,910399, Mumbai, 2017 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,5,1262400.0
2585,""" Manual""",""" 1st Owner""", Petrol,23954,NULL,681000.0,594299, Mumbai, 2017 Maruti Baleno DELTA 1.2 K12 Manual,5,681000.0
2586,""" Automatic""",""" 1st Owner""", Petrol,471,NULL,1106000.0,844999, Mumbai, 2017 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,5,1106000.0
2587,""" Automatic""",""" 1st Owner""", Petrol,34647,NULL,1106000.0,752799, Mumbai, 2017 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,5,1106000.0
2588,""" Manual""",""" 1st Owner""", Petrol,15414,NULL,1040000.0,890899, Mumbai, 2018 Honda WR-V 1.2 i-VTEC VX MT Manual,4,1040000.0
2589,""" Manual""",""" 1st Owner""", Diesel,47726,NULL,1094000.0,823099, Mumbai, 2017 Mahindra TUV300 T8 Manual,5,1094000.0
2590,""" Manual""",""" 1st Owner""", Diesel,69796,1104000.0,NULL,847599, Mumbai, 2018 Ford Ecosport 1.5 TDCI TITANIUM PLUS Manual,4,1324800.0
2591,""" Manual""",""" 1st Owner""", Petrol,46880,NULL,830000.0,656099, Mumbai, 2017 Maruti Baleno ALPHA 1.2 K12 Manual,5,830000.0
2592,""" Manual""",""" 1st Owner""", Petrol,33893,NULL,830000.0,689599, Mumbai, 2018 Maruti Baleno ALPHA 1.2 K12 Manual,4,830000.0
2593,""" Manual""",""" 1st Owner""", Petrol,41034,NULL,599000.0,693299, Mumbai, 2018 Maruti Dzire VXI Manual,4,599000.0
2594,""" Manual""",""" 1st Owner""", Petrol,37322,NULL,949000.0,624799, Mumbai, 2017 Maruti Baleno RS 1.0 PETROL Manual,5,949000.0
2595,""" Manual""",""" 1st Owner""", Diesel,143492,NULL,908000.0,581299, Mumbai, 2015 Hyundai i20 Active 1.4 SX Manual,7,908000.0
2596,""" Automatic""",""" 1st Owner""", Diesel,53333,NULL,707000.0,730399, Mumbai, 2018 Maruti Dzire VDI AMT Automatic,4,707000.0
2597,""" Manual""",""" 1st Owner""", Petrol,21057,NULL,582000.0,511599, Mumbai, 2017 Maruti IGNIS DELTA 1.2 K12 Manual,5,582000.0
2598,""" Manual""",""" 1st Owner""", Petrol,21416,NULL,908000.0,729399, Mumbai, 2017 Hyundai i20 Active 1.2 SX Manual,5,908000.0
