,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
145,Automatic,1st Owner,Petrol,6519,355599,Noida,2016 Maruti Alto K10 VXI AMT Automatic,6
146,Manual,1st Owner,Diesel,89117,616699,Noida,2014 Mahindra XUV500 W8 FWD Manual,8
147,Manual,1st Owner,Diesel,23941,989599,Noida,2019 Hyundai Creta 1.4 E PLUS CRDI Manual,3
148,Manual,1st Owner,Diesel,57061,620799,Noida,2018 Maruti Dzire VDI Manual,4
149,Manual,1st Owner,Petrol,61115,586199,Noida,2016 Hyundai Elite i20 ASTA 1.2 Manual,6
150,Manual,1st Owner,Petrol,26475,235499,Noida,2011 Maruti Alto K10 VXI Manual,11
151,Manual,1st Owner,Petrol,36243,468899,Noida,2017 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,5
152,Automatic,2nd Owner,Petrol,103602,1122199,Noida,2016 Honda CRV 2.4 AWD AT Automatic,6
153,Manual,1st Owner,Petrol,69746,456799,Noida,2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,3
154,Manual,1st Owner,Diesel,65694,845299,Noida,2018 Hyundai Creta 1.4 E PLUS CRDI Manual,4
155,Automatic,2nd Owner,Petrol,28711,1230599,Noida,2018 Hyundai Creta 1.6 VTVT SX AUTO Automatic,4
156,Manual,1st Owner,Diesel,195904,756399,Noida,2017 Mahindra XUV500 W6 4X2 Manual,5
157,Manual,1st Owner,Petrol,21304,529199,Noida,2018 Maruti Swift LXI Manual,4
158,Automatic,1st Owner,Petrol,9928,1477399,Noida,2020 Honda City ZX CVT Automatic,2
159,Automatic,1st Owner,Petrol,12934,1306399,Noida,2020 Honda City ZX CVT Automatic,2
160,Manual,1st Owner,Diesel,31379,580999,Noida,2016 Maruti Ciaz SHVS VDI Manual,6
161,Manual,1st Owner,Petrol,35853,486499,Noida,2017 Hyundai Grand i10 SPORTS 1.2 VTVT Manual,5
162,Manual,1st Owner,Diesel,21031,1200399,Noida,2020 Hyundai Creta E Manual,2
163,Manual,1st Owner,Petrol,54106,408499,Noida,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,7
164,Manual,2nd Owner,Petrol,10385,612499,Noida,2018 Maruti Baleno ZETA 1.2 K12 Manual,4
165,Manual,1st Owner,Diesel,105711,641699,Noida,2014 Toyota Corolla Altis D 4D J Manual,8
166,Manual,1st Owner,Petrol,40743,451899,Noida,2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5
167,Manual,1st Owner,Diesel,33302,477499,Noida,2013 Hyundai Verna FLUIDIC 1.6 SX CRDI Manual,9
168,Manual,2nd Owner,Petrol,31729,337399,Noida,2012 Toyota Etios Liva G SP Manual,10
169,Manual,2nd Owner,Petrol,42422,270399,Noida,2010 Hyundai i20 MAGNA O 1.2 Manual,12
170,Manual,1st Owner,Petrol,16529,693999,Noida,2016 Ford Ecosport 1.5 TITANIUM TI VCT Manual,6
171,Manual,1st Owner,Petrol,36011,367999,Noida,2013 Toyota Etios Liva G SP Manual,9
172,Manual,1st Owner,Diesel,53468,862599,Noida,2015 Hyundai Creta 1.6 SX (O) CRDI Manual,7
173,Manual,1st Owner,Diesel,39585,666599,Noida,2016 Maruti Ciaz ZDI+ SHVS Manual,6
174,Manual,1st Owner,Petrol,25920,677399,Noida,2019 Maruti Baleno DELTA 1.2 K12 Manual,3
175,Automatic,1st Owner,Petrol,23364,521299,Noida,2017 Hyundai Grand i10 Magna 1.2 AT  VTVT Automatic,5
176,Manual,1st Owner,Petrol,35255,610399,Noida,2017 Hyundai Elite i20 ASTA 1.2 Manual,5
177,Manual,1st Owner,Petrol,16076,614599,Noida,2018 Maruti Baleno DELTA 1.2 K12 Manual,4
178,Manual,1st Owner,Petrol + CNG,10875,540399,Noida,2021 Maruti S PRESSO VXI CNG Manual,1
179,Automatic,2nd Owner,Diesel,42881,1455599,Noida,2013 Mercedes Benz E Class E 250 CDI AVANTGARDE Automatic,9
180,Automatic,1st Owner,Petrol,53293,570099,Noida,2017 Maruti Baleno ZETA 1.2 K12 AMT Automatic,5
181,Manual,1st Owner,Petrol,20068,451899,Noida,2017 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,5
182,Manual,1st Owner,Petrol,87251,429999,Noida,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
183,Manual,1st Owner,Petrol,18462,437999,Noida,2014 Maruti Swift VXI Manual,8
184,Manual,1st Owner,Petrol,32251,560399,Noida,2019 Maruti Swift VXI Manual,3
185,Manual,1st Owner,Petrol,52334,593199,Noida,2016 Maruti Baleno ZETA 1.2 K12 Manual,6
186,Manual,3rd Owner,Petrol,30697,522799,Noida,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
187,Manual,1st Owner,Diesel,19544,673399,Noida,2018 Maruti Baleno ZETA DDIS 190 Manual,4
188,Automatic,1st Owner,Petrol,44374,489199,Noida,2015 Hyundai Grand i10 ASTA 1.2 AT VTVT Automatic,7
189,Manual,2nd Owner,Diesel,66578,442799,Noida,2015 Hyundai Elite i20 SPORTZ 1.4 Manual,7
190,Manual,2nd Owner,Petrol,51635,497099,Noida,2015 Ford Ecosport 1.5AMBIENTE TI VCT Manual,7
