,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
542,Manual,1st Owner,Petrol,53823,711599,Mumbai,2018 Maruti Dzire ZXI Manual,4
543,Manual,1st Owner,Petrol,14654,464899,Mumbai,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
544,Manual,1st Owner,Petrol,29445,586699,Mumbai,2018 Hyundai Elite i20 Magna Executive 1.2 Manual,4
545,Manual,1st Owner,Petrol,25976,479499,Mumbai,2014 Ford Ecosport 1.5 TREND TI VCT Manual,8
546,Manual,1st Owner,Diesel,49323,853299,Mumbai,2019 Maruti Vitara Brezza VDI Manual,3
547,Manual,1st Owner,Petrol,57231,491999,Mumbai,2015 Hyundai Elite i20 SPORTZ 1.2 Manual,7
548,Manual,1st Owner,Petrol,68292,402499,Mumbai,2014 Hyundai Grand i10 MAGNA 1.2 VTVT Manual,8
549,Automatic,2nd Owner,Petrol,40797,1024499,Mumbai,2019 Honda City VX CVT PETROL Automatic,3
550,Manual,1st Owner,Petrol,24517,512099,Mumbai,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
551,Manual,1st Owner,Petrol,27432,922499,Mumbai,2017 Honda City VX MT PETROL Manual,5
552,Manual,1st Owner,Diesel,8472,632499,Mumbai,2018 Hyundai Grand i10 magna 1.2 crdi Manual,4
553,Manual,2nd Owner,Petrol,37918,740199,Mumbai,2018 Tata NEXON XZ+ 1.2 Manual,4
554,Manual,1st Owner,Petrol,89724,463499,Mumbai,2015 Hyundai Elite i20 SPORTZ 1.2 Manual,7
555,Manual,2nd Owner,Petrol,29433,626399,Mumbai,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
556,Automatic,2nd Owner,Petrol,40672,495699,Mumbai,2014 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,8
557,Manual,1st Owner,Petrol,8225,482899,Mumbai,2017 Maruti IGNIS SIGMA 1.2 K12 Manual,5
558,Automatic,1st Owner,Diesel,45417,1083299,Mumbai,2018 Hyundai Verna 1.6 CRDI SX + AT Automatic,4
559,Manual,1st Owner,Petrol,9706,442899,Mumbai,2021 Maruti Alto LXI OPT Manual,1
560,Automatic,1st Owner,Petrol,4008,512199,Mumbai,2016 Hyundai Grand i10 Magna 1.2 AT  VTVT Automatic,6
561,Automatic,1st Owner,Petrol,69376,886799,Mumbai,2017 Honda City VX CVT PETROL Automatic,5
562,Automatic,1st Owner,Petrol,57606,649299,Mumbai,2017 Honda Jazz 1.2 V AT Automatic,5
563,Manual,1st Owner,Diesel,68172,1295599,Mumbai,2017 Jeep Compass 2.0 LONGITUDE (O) Manual,5
564,Manual,1st Owner,Petrol,51545,605999,Mumbai,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
565,Manual,1st Owner,Petrol,61279,548699,Mumbai,2016 Hyundai Elite i20 MAGNA 1.2 Manual,6
566,Manual,1st Owner,Petrol,26161,566999,Mumbai,2019 Hyundai Grand i10 1.2 KAPPA SPORTZ (O) Manual,3
567,Automatic,1st Owner,Diesel,86684,1226799,Mumbai,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5
568,Manual,1st Owner,Petrol,90518,567799,Mumbai,2016 Hyundai Elite i20 ASTA 1.2 (O) Manual,6
569,Manual,1st Owner,Petrol,69182,1152799,Mumbai,2018 Hyundai Creta 1.6 SX (O) VTVT Manual,4
570,Manual,1st Owner,Diesel,50485,1278699,Mumbai,2017 Jeep Compass 2.0 LONGITUDE (O) Manual,5
571,Manual,2nd Owner,Petrol,9395,454299,Mumbai,2018 Hyundai NEW SANTRO ERA 1.1 Manual,4
