,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
255,Manual,2nd Owner,Petrol,16432,477199,Pune,2018 Maruti Wagon R 1.0 VXI Manual,4
256,Manual,1st Owner,Petrol,54486,645099,Pune,2016 Maruti Baleno ALPHA 1.2 K12 Manual,6
257,Automatic,1st Owner,Petrol,16366,406899,Pune,2017 Maruti Alto K10 VXI (O) AMT Automatic,5
258,Manual,1st Owner,Petrol,24130,887999,Pune,2020 Maruti Vitara Brezza ZXI Manual,2
259,Manual,1st Owner,Petrol,36930,600299,Pune,2016 Maruti Baleno ZETA 1.2 K12 Manual,6
260,Manual,2nd Owner,Petrol,60793,323199,Pune,2018 Maruti Alto 800 VXI Manual,4
261,Manual,1st Owner,Petrol,24293,410499,Pune,2019 Maruti Alto K10 VXI Manual,3
262,Manual,2nd Owner,Petrol,69721,818599,Pune,2017 Hyundai Creta 1.6 SX PLUS PETROL Manual,5
263,Manual,1st Owner,Petrol,27054,549599,Pune,2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,5
264,Manual,1st Owner,Petrol,35584,627299,Pune,2017 Maruti Baleno DELTA 1.2 K12 Manual,5
265,Manual,1st Owner,Diesel,66700,674799,Pune,2017 Ford Ecosport 1.5TITANIUM TDCI Manual,5
266,Manual,1st Owner,Petrol,75263,531299,Pune,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
267,Automatic,2nd Owner,Petrol,23749,781599,Pune,2017 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,5
268,Manual,1st Owner,Petrol,30817,704199,Pune,2018 Maruti Dzire VXI Manual,4
269,Manual,1st Owner,Petrol,21652,602199,Pune,2020 Tata Tiago XZ+ 1.2 Revotron Manual,2
270,Manual,1st Owner,Petrol,96336,637799,Pune,2014 Renault Duster RXL PETROL 104 Manual,8
271,Automatic,1st Owner,Petrol,34521,680799,Pune,2020 Maruti Swift VXI AMT Automatic,2
272,Manual,1st Owner,Diesel,17213,925699,Pune,2019 Mahindra Thar CRDE 4X4 BS IV Manual,3
273,Automatic,3rd Owner,Diesel,81609,1052599,Pune,2015 Mercedes Benz B Class B200 CDI SPORT Automatic,7
274,Manual,1st Owner,Petrol,31641,388199,Pune,2014 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,8
275,Manual,1st Owner,Petrol,52126,638499,Pune,2014 Maruti Ertiga ZXI Manual,8
276,Manual,1st Owner,Diesel,17654,1508799,Pune,2020 Tata Harrier XM 2.0L Kryotec Manual,2
277,Manual,3rd Owner,Petrol,33309,419199,Pune,2013 Hyundai i20 SPORTZ 1.2 VTVT Manual,9
278,Manual,1st Owner,Petrol,10685,756499,Pune,2021 Renault TRIBER 1.0 RXZ Manual,1
279,Manual,1st Owner,Petrol,17098,627199,Pune,2018 Volkswagen Polo COMFORTLINE 1.0 PETROL Manual,4
280,Automatic,1st Owner,Petrol,8453,451599,Pune,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
281,Automatic,1st Owner,Petrol,2475,522899,Pune,2019 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,3
282,Manual,1st Owner,Petrol,49390,282799,Pune,2015 Maruti Alto 800 LXI Manual,7
283,Automatic,1st Owner,Petrol,5591,882799,Pune,2021 Maruti Swift ZXI AMT Automatic,1
284,Automatic,1st Owner,Petrol,59885,459799,Pune,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
285,Manual,1st Owner,Petrol,32393,467999,Pune,2014 Maruti Swift Dzire ZXI 1.2 BS IV Manual,8
286,Manual,1st Owner,Petrol,47436,314999,Pune,2016 Renault Kwid RXT Manual,6
287,Automatic,4th Owner,Petrol,50716,513799,Pune,2015 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,7
288,Manual,2nd Owner,Petrol,29495,447599,Pune,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
289,Automatic,1st Owner,Diesel,81918,1835399,Pune,2015 Jaguar XF 2.2 DIESEL LUXURY Automatic,7
290,Automatic,1st Owner,Petrol,51146,567299,Pune,2015 Nissan Micra XL CVT (PETROL) Automatic,7
291,Manual,1st Owner,Diesel,55323,704699,Pune,2018 Volkswagen Polo HIGHLINE1.5L DIESEL Manual,4
292,Manual,1st Owner,Diesel,116371,527499,Pune,2014 Maruti Swift Dzire VDI BS IV Manual,8
293,Manual,1st Owner,Petrol,21461,404499,Pune,2019 Renault Kwid RXT Opt Manual,3
294,Automatic,1st Owner,Petrol,8989,870299,Pune,2020 Maruti Swift ZXI + AMT Automatic,2
295,Automatic,1st Owner,Petrol,39147,1352799,Pune,2017 Toyota Corolla Altis VL AT Automatic,5
296,Manual,1st Owner,Petrol,30911,391299,Pune,2015 Honda Brio 1.2 S MT I VTEC Manual,7
297,Manual,1st Owner,Petrol,7766,763799,Pune,2020 Maruti Dzire VXI Manual,2
298,Automatic,1st Owner,Diesel,47602,1927899,Pune,2015 Jaguar XF 2.2 DIESEL Automatic,7
299,Manual,2nd Owner,Petrol,34076,279299,Pune,2014 Maruti Alto 800 LXI Manual,8
300,Automatic,1st Owner,Petrol,10343,980399,Pune,2019 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT Automatic,3
301,Manual,1st Owner,Petrol,47274,509299,Pune,2018 Tata Tiago XT 1.2 REVOTRON Manual,4
302,Automatic,2nd Owner,Petrol,42523,748499,Pune,2017 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,5
303,Automatic,1st Owner,Diesel,112045,647699,Pune,2016 Volkswagen Vento HIGHLINE TDI AT Automatic,6
304,Automatic,1st Owner,Diesel,36416,1051199,Pune,2018 Tata NEXON XZA+ 1.5 Automatic,4
305,Manual,1st Owner,Petrol,70126,521799,Pune,2014 Maruti Swift Dzire ZXI 1.2 BS IV Manual,8
306,Automatic,1st Owner,Petrol,48617,459899,Pune,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION Automatic,4
307,Automatic,2nd Owner,Petrol,4391,971799,Pune,2019 Tata NEXON XZA + 1.2 PETROL A/T Automatic,3
308,Automatic,1st Owner,Petrol,49720,467999,Pune,2017 Maruti Celerio VXI AMT Automatic,5
309,Manual,2nd Owner,Petrol,68981,378799,Pune,2015 Honda Brio 1.2 S MT I VTEC Manual,7
310,Manual,1st Owner,Petrol,30988,452499,Pune,2014 Honda Amaze 1.2 SMT I VTEC Manual,8
311,Automatic,1st Owner,Diesel,92831,943699,Pune,2015 Volkswagen Jetta HIGHLINE TDI AT Automatic,7
312,Automatic,1st Owner,Diesel,21039,1516599,Pune,2020 KIA SELTOS HTK PLUS AT 1.5 DIESEL Automatic,2
313,Automatic,1st Owner,Petrol,13309,392599,Pune,2016 Maruti Alto K10 VXI AMT Automatic,6
314,Automatic,2nd Owner,Petrol,34206,855199,Pune,2017 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT Automatic,5
315,Automatic,1st Owner,Petrol,25907,668499,Pune,2018 Maruti Swift VXI AMT Automatic,4
316,Manual,2nd Owner,Petrol,44574,642699,Pune,2016 Hyundai Verna FLUIDIC 1.6 SX VTVT Manual,6
317,Automatic,1st Owner,Petrol,20580,1707499,Pune,2019 KIA SELTOS 1.4 GTX+ TURBO GDI PETROL AT Automatic,3
318,Automatic,3rd Owner,Petrol,68608,450199,Pune,2012 Honda City V AT Automatic,10
319,Manual,1st Owner,Petrol,19355,1278599,Pune,2020 KIA SELTOS HTK PLUS 1.5 PETROL Manual,2
320,Manual,1st Owner,Petrol,9551,971799,Pune,2019 Hyundai VENUE 1.0L Turbo GDI SX(O) MT Manual,3
321,Manual,2nd Owner,Petrol,9125,490499,Pune,2016 Honda Jazz 1.2 S MT Manual,6
322,Automatic,1st Owner,Petrol,14557,826899,Pune,2019 Honda Amaze 1.2 VX CVT I VTEC Automatic,3
323,Manual,1st Owner,Diesel,40297,844999,Pune,2019 Hyundai Elite i20 1.4 SPORTS PLUS CRDI Manual,3
324,Automatic,2nd Owner,Petrol,27167,431899,Pune,2016 Maruti Celerio VXI AMT Automatic,6
325,Automatic,1st Owner,Petrol,47341,381999,Pune,2015 Maruti Celerio VXI AMT Automatic,7
326,Manual,2nd Owner,Petrol,80019,407999,Pune,2012 Honda City 1.5 E MT PETROL Manual,10
327,Automatic,1st Owner,Diesel,45909,1845599,Pune,2020 Hyundai Creta 1.5 SX AT Automatic,2
328,Manual,1st Owner,Petrol,5526,980899,Pune,2020 Honda Jazz 1.2 ZX MT Manual,2
329,Automatic,1st Owner,Petrol,3297,1133699,Pune,2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,3
330,Automatic,3rd Owner,Petrol,41721,564499,Pune,2016 Honda Jazz 1.2 V AT Automatic,6
331,Manual,1st Owner,Diesel,41229,1197999,Pune,2017 Jeep Compass 2.0 LONGITUDE Manual,5
332,Manual,1st Owner,Petrol,36486,203599,Pune,2015 Tata Nano XT TWIST Manual,7
333,Automatic,1st Owner,Petrol,21007,834399,Pune,2019 Honda Amaze 1.2 V CVT I VTEC Automatic,3
334,Manual,1st Owner,Petrol,88597,444499,Pune,2014 Maruti Swift Dzire VXI 1.2 BS IV Manual,8
335,Manual,1st Owner,Petrol,17995,316799,Pune,2016 Maruti Alto 800 LXI Manual,6
336,Automatic,1st Owner,Petrol,11301,1601199,Pune,2020 Honda City ZX CVT Automatic,2
337,Manual,1st Owner,Petrol,75835,472799,Pune,2015 Honda Jazz 1.2 V MT Manual,7
338,Automatic,1st Owner,Petrol,22497,1432399,Pune,2019 Hyundai Creta 1.6 VTVT SX AUTO Automatic,3
339,Manual,1st Owner,Petrol,19752,334899,Pune,2013 Maruti Wagon R 1.0 VXI Manual,9
340,Automatic,2nd Owner,Petrol,63578,874799,Pune,2013 Honda CRV 2.4 AWD AT AVN Automatic,9
341,Automatic,1st Owner,Petrol,54527,990799,Pune,2016 Hyundai Creta 1.6 SX PLUS AUTO PETROL Automatic,6
342,Manual,2nd Owner,Petrol,20241,657999,Pune,2019 Hyundai GRAND I10 NIOS Asta Petrol Manual,3
343,Automatic,2nd Owner,Petrol,34938,1252999,Pune,2017 Toyota Corolla Altis VL AT Automatic,5
344,Manual,1st Owner,Diesel,75005,450999,Pune,2013 Maruti Swift Dzire VDI BS IV Manual,9
345,Manual,1st Owner,Petrol,18596,591199,Pune,2015 Hyundai Elite i20 ASTA 1.2 Manual,7
346,Manual,1st Owner,Petrol,32859,721499,Pune,2019 Hyundai Elite i20 1.2 SPORTS PLUS VTVT Manual,3
347,Manual,1st Owner,Petrol,24969,487199,Pune,2017 Maruti IGNIS DELTA 1.2 K12 Manual,5
348,Manual,1st Owner,Petrol,14875,622399,Pune,2017 Hyundai Elite i20 SPORTZ 1.2 Manual,5
349,Manual,2nd Owner,Petrol,51838,571399,Pune,2016 Hyundai Elite i20 SPORTZ 1.2 Manual,6
350,Manual,2nd Owner,Diesel,163953,251099,Pune,2011 Ford Figo 1.4 TITANIUM DURATORQ Manual,11
351,Manual,3rd Owner,Petrol,63203,417399,Pune,2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,7
352,Automatic,1st Owner,Petrol,30020,396899,Pune,2014 Maruti Celerio VXI AMT Automatic,8
353,Manual,1st Owner,Petrol,21401,509799,Pune,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
354,Manual,1st Owner,Petrol,34962,362299,Pune,2017 Hyundai Eon MAGNA PLUS Manual,5
355,Automatic,1st Owner,Petrol,43848,734199,Pune,2017 Ford Ecosport 1.5 TITANIUM TI VCT AT Automatic,5
356,Manual,1st Owner,Petrol,13461,662199,Pune,2017 Maruti Baleno ZETA 1.2 K12 Manual,5
357,Manual,1st Owner,Petrol,53211,975599,Pune,2019 Hyundai VENUE 1.0L Turbo GDI SX MT Manual,3
358,Manual,1st Owner,Petrol,43436,628399,Pune,2016 Hyundai Elite i20 ASTA 1.2 (O) Manual,6
359,Automatic,1st Owner,Petrol,23136,1112499,Pune,2018 Honda City V CVT Automatic,4
360,Manual,1st Owner,Diesel,121673,334899,Pune,2014 Maruti Ritz VDI Manual,8
361,Automatic,1st Owner,Petrol,11976,792499,Pune,2018 Hyundai Elite i20 ASTA 1.2 AT Automatic,4
362,Manual,1st Owner,Petrol,54761,298099,Pune,2017 Maruti Alto 800 LXI OPT Manual,5
