,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
53,Manual,1st Owner,Petrol,39098,481999,Hyderabad,2017 Ford New Figo 1.2 TITANIUM Manual,5
54,Automatic,2nd Owner,Petrol,88698,543799,Hyderabad,2013 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,9
55,Manual,1st Owner,Diesel,96605,1108099,Hyderabad,2019 Mahindra XUV 3OO W8(O) Manual,3
56,Automatic,1st Owner,Petrol,22629,466799,Hyderabad,2018 Renault Kwid RXT 1.0 EASY-R  AT Automatic,4
57,Manual,1st Owner,Petrol,22103,692899,Hyderabad,2019 Hyundai Elite i20 1.2 MAGNA PLUS VTVT Manual,3
58,Automatic,2nd Owner,Petrol,30858,713299,Hyderabad,2017 Honda Jazz 1.2 V AT Automatic,5
59,Automatic,1st Owner,Petrol,7945,1072699,Hyderabad,2021 Volkswagen Polo Highline 1.0 AT Petrol Automatic,1
60,Manual,1st Owner,Petrol,58302,509799,Hyderabad,2012 Hyundai Verna FLUIDIC 1.6 EX VTVT Manual,10
61,Manual,1st Owner,Diesel,11082,1802199,Hyderabad,2020 Mahindra XUV500 W9 Manual,2
62,Automatic,2nd Owner,Petrol,31638,678999,Hyderabad,2016 Honda Jazz 1.2 V AT Automatic,6
63,Manual,1st Owner,Petrol,19182,603699,Hyderabad,2020 Maruti Celerio ZXI OPT Manual,2
64,Manual,1st Owner,Petrol,23887,535899,Hyderabad,2019 Maruti Celerio VXI Manual,3
65,Manual,2nd Owner,Petrol + LPG,100795,203799,Hyderabad,2008 Maruti Wagon R Duo LXI LPG Manual,14
66,Manual,1st Owner,Petrol,26305,562899,Hyderabad,2017 Honda Jazz 1.2 SV MT Manual,5
67,Manual,1st Owner,Petrol,44244,345599,Hyderabad,2017 Hyundai Eon ERA PLUS (O) Manual,5
68,Manual,1st Owner,Petrol,3273,1066799,Hyderabad,2021 Hyundai VENUE 1.0 TURBO GDI S IMT Manual,1
69,Manual,1st Owner,Petrol,11259,999499,Hyderabad,2021 Volkswagen Polo HIGH LINE PLUS 1.0 Manual,1
70,Manual,1st Owner,Petrol,39091,316699,Hyderabad,2015 Hyundai Eon MAGNA PLUS Manual,7
71,Manual,1st Owner,Petrol,63248,280399,Hyderabad,2016 Maruti Alto 800 VXI Manual,6
72,Manual,1st Owner,Petrol,72168,253199,Hyderabad,2012 Maruti Alto K10 VXI Manual,10
73,Manual,1st Owner,Petrol,26808,518699,Hyderabad,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,6
74,Manual,1st Owner,Diesel,44442,1110299,Hyderabad,2016 Hyundai Creta 1.6 SX CRDI Manual,6
75,Manual,1st Owner,Petrol,40885,772299,Hyderabad,2018 Renault Duster RXL PETROL 104 Manual,4
76,Automatic,2nd Owner,Petrol,15878,1766099,Hyderabad,2020 Hyundai Creta 1.5 SX (O) AT Automatic,2
77,Manual,1st Owner,Petrol,22616,366099,Hyderabad,2017 Hyundai Eon MAGNA PLUS Manual,5
78,Manual,2nd Owner,Petrol,47886,513899,Hyderabad,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT Manual,6
79,Manual,1st Owner,Petrol,69748,355499,Hyderabad,2018 Hyundai Eon ERA PLUS Manual,4
80,Manual,1st Owner,Petrol,11628,745099,Hyderabad,2019 Maruti Baleno ZETA 1.2 K12 Manual,3
81,Manual,2nd Owner,Petrol,19550,499199,Hyderabad,2017 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,5
82,Manual,2nd Owner,Petrol,83008,475499,Hyderabad,2014 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT Manual,8
83,Automatic,1st Owner,Diesel,93390,1048399,Hyderabad,2017 Hyundai Verna 1.6 CRDI SX + AT Automatic,5
84,Automatic,2nd Owner,Petrol,45354,1053899,Hyderabad,2017 Hyundai Creta 1.6 SX PLUS AUTO PETROL Automatic,5
