,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
247,Manual,2nd Owner,Petrol,20745,599999,Bengaluru,2019 Maruti New  Wagon-R VXI 1.2L Manual,3
248,Automatic,1st Owner,Diesel,25164,1366099,Bengaluru,2020 Mahindra XUV 3OO W8 (O) DIESEL  AT Automatic,2
249,Manual,2nd Owner,Petrol,46558,208499,Bengaluru,2008 Maruti Alto LXI Manual,14
250,Manual,1st Owner,Diesel,6179,1543999,Bengaluru,2021 KIA SELTOS HTK PLUS 1.5 DIESEL Manual,1
251,Manual,1st Owner,Diesel,12115,1784699,Bengaluru,2020 Mahindra XUV500 W9 Manual,2
252,Manual,2nd Owner,Petrol,20439,403899,Bengaluru,2015 Hyundai i10 MAGNA 1.1 IRDE2 Manual,7
253,Manual,3rd Owner,Petrol,103737,359799,Bengaluru,2008 Toyota Corolla Altis 1.8 GL Manual,14
254,Manual,2nd Owner,Petrol,40020,511399,Bengaluru,2013 Ford Ecosport 1.5AMBIENTE TI VCT Manual,9
255,Manual,1st Owner,Petrol,2927,1077199,Bengaluru,2020 Skoda Rapid ACTIVE 1.0 TSI Manual,2
256,Manual,1st Owner,Diesel,44793,961899,Bengaluru,2019 Renault Duster RXS 85 PS Manual,3
257,Manual,3rd Owner,Petrol,50569,366199,Bengaluru,2012 Hyundai i20 MAGNA 1.2 VTVT Manual,10
258,Automatic,1st Owner,Petrol,44061,853699,Bengaluru,2017 Volkswagen Polo GT TSI 1.2 PETROL AT Automatic,5
259,Manual,1st Owner,Diesel,77654,694599,Bengaluru,2014 Maruti Ertiga VDI ABS Manual,8
260,Manual,2nd Owner,Petrol,82792,511699,Bengaluru,2014 Volkswagen Polo HIGHLINE1.2L PETROL Manual,8
261,Manual,2nd Owner,Petrol,30154,590599,Bengaluru,2013 Honda City S MT PETROL Manual,9
262,Manual,1st Owner,Diesel,18078,1177999,Bengaluru,2019 Hyundai VENUE SX(O) CRDi Manual,3
263,Manual,2nd Owner,Petrol,67892,652699,Bengaluru,2016 Hyundai Verna FLUIDIC 1.4 VTVT Manual,6
264,Automatic,1st Owner,Petrol,14171,1250599,Bengaluru,2020 Hyundai VENUE 1.0 TURBO GDI SX+ AT Automatic,2
265,Automatic,2nd Owner,Petrol,49454,397299,Bengaluru,2013 Hyundai i10 SPORTZ 1.2 AT KAPPA2 Automatic,9
266,Manual,1st Owner,Diesel,29899,1793499,Bengaluru,2019 Mahindra XUV500 W11 (O) Manual,3
267,Manual,3rd Owner,Diesel,47240,526599,Bengaluru,2014 Hyundai i20 SPORTZ 1.4 CRDI Manual,8
268,Manual,1st Owner,Diesel,66715,531199,Bengaluru,2018 Tata Tiago XZ 1.05 REVOTORQ Manual,4
269,Manual,1st Owner,Petrol,17925,505999,Bengaluru,2016 Volkswagen Ameo TRENDLINE 1.2 Manual,6
270,Manual,1st Owner,Petrol,86232,384699,Bengaluru,2014 Hyundai i10 SPORTZ 1.1 IRDE2 Manual,8
271,Manual,1st Owner,Petrol,18906,658399,Bengaluru,2020 Renault TRIBER 1.0 RXL PETROL Manual,2
272,Manual,3rd Owner,Petrol,38094,249199,Bengaluru,2012 Maruti Alto 800 LXI Manual,10
273,Manual,1st Owner,Petrol,62844,704499,Bengaluru,2015 Hyundai Verna FLUIDIC 1.6 VTVT S (O)  MT Manual,7
274,Automatic,2nd Owner,Petrol,13702,269199,Bengaluru,2016 Tata Nano TWIST XTA Automatic,6
275,Manual,1st Owner,Petrol,34363,636099,Bengaluru,2019 Renault TRIBER 1.0 RXT Manual,3
276,Manual,1st Owner,Diesel,96948,853099,Bengaluru,2017 Renault Duster RXZ DIESEL 110 Manual,5
277,Automatic,1st Owner,Diesel,59680,872599,Bengaluru,2018 Maruti Swift ZDI plus AMT Automatic,4
278,Manual,1st Owner,Diesel,130718,468499,Bengaluru,2012 Maruti Swift Dzire VDI BS IV Manual,10
279,Manual,2nd Owner,Petrol,34036,337999,Bengaluru,2016 Renault Kwid RXL Manual,6
280,Manual,1st Owner,Petrol,22029,507499,Bengaluru,2017 Tata Tiago XM 1.2 REVOTRON Manual,5
281,Automatic,3rd Owner,Diesel,22475,1228299,Bengaluru,2017 Hyundai Creta 1.6 CRDI SX PLUS AUTO Automatic,5
282,Manual,1st Owner,Petrol,71941,649399,Bengaluru,2016 Honda City SV MT PETROL Manual,6
283,Automatic,2nd Owner,Petrol,76801,807899,Bengaluru,2016 Volkswagen Vento HIGHLINE 1.2 TSI AT Automatic,6
284,Manual,2nd Owner,Petrol,23763,689599,Bengaluru,2019 Renault TRIBER 1.0 RXZ Manual,3
285,Manual,2nd Owner,Petrol,83991,384799,Bengaluru,2011 Hyundai i20 ASTA 1.2 Manual,11
286,Manual,1st Owner,Petrol,68473,560099,Bengaluru,2012 Honda City V MT PETROL Manual,10
287,Manual,1st Owner,Petrol,9939,851499,Bengaluru,2020 Hyundai VENUE S MT 1.2 KAPPA Manual,2
288,Manual,1st Owner,Petrol,32322,1121999,Bengaluru,2019 KIA SELTOS HTK 1.5 PETROL Manual,3
289,Manual,1st Owner,Petrol,32714,673199,Bengaluru,2015 Honda City SV MT PETROL Manual,7
290,Manual,1st Owner,Petrol,89706,441599,Bengaluru,2012 Toyota Etios V Manual,10
291,Manual,2nd Owner,Diesel,61078,1214099,Bengaluru,2017 Mahindra XUV500 W6 4X2 Manual,5
292,Manual,1st Owner,Diesel,75378,881799,Bengaluru,2014 Mahindra XUV500 W6 4X2 Manual,8
293,Manual,1st Owner,Diesel,47593,1298399,Bengaluru,2019 KIA SELTOS HTK PLUS 1.5 DIESEL Manual,3
294,Manual,2nd Owner,Petrol,49634,567399,Bengaluru,2013 Hyundai Verna FLUIDIC 1.6 SX VTVT Manual,9
295,Manual,2nd Owner,Petrol,77748,474399,Bengaluru,2014 Hyundai i20 SPORTZ 1.2 VTVT Manual,8
296,Manual,3rd Owner,Petrol,55277,525699,Bengaluru,2012 Honda City V MT PETROL Manual,10
297,Manual,1st Owner,Petrol,23625,415999,Bengaluru,2016 Maruti Celerio VXI Manual,6
298,Automatic,2nd Owner,Petrol,99426,1396499,Bengaluru,2016 Skoda Superb 1.8 TSI LK AT Automatic,6
299,Manual,3rd Owner,Petrol,21739,335499,Bengaluru,2016 Renault Kwid RXL Manual,6
300,Automatic,2nd Owner,Petrol,11731,561899,Bengaluru,2018 Maruti Celerio VXI (O) AMT Automatic,4
301,Automatic,2nd Owner,Petrol,15196,551299,Bengaluru,2018 Maruti Celerio ZXI OPT AMT Automatic,4
302,Manual,1st Owner,Petrol,12731,680999,Bengaluru,2019 Hyundai GRAND I10 NIOS SPORTZ PETROL Manual,3
303,Manual,1st Owner,Petrol,14463,1114299,Bengaluru,2020 Hyundai VENUE SX 1.0 GDI IMT Manual,2
304,Automatic,1st Owner,Petrol,34445,716999,Bengaluru,2018 Maruti Swift ZXI AMT Automatic,4
305,Manual,1st Owner,Petrol,25881,486399,Bengaluru,2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT Manual,8
306,Manual,2nd Owner,Petrol,13862,396099,Bengaluru,2019 Renault Kwid RXL Manual,3
307,Manual,1st Owner,Petrol,28391,780799,Bengaluru,2016 Hyundai Verna FLUIDIC 1.6 SX VTVT Manual,6
308,Automatic,1st Owner,Petrol,32070,481999,Bengaluru,2017 Renault Kwid CLIMBER 1.0 AT Automatic,5
309,Automatic,3rd Owner,Petrol,24378,471999,Bengaluru,2016 Maruti Celerio ZXI OPT AMT Automatic,6
