,Transimission_Type,Ownership,Fuel_Used,km_driven,selling_price,Place of Origin,Complete_Info,Age
418,Manual,2nd Owner,Diesel,76165,477499,Gurgaon,2015 Maruti Baleno ALPHA DDIS 190 Manual,7
419,Manual,1st Owner,Diesel,67443,557299,Gurgaon,2016 Maruti Baleno ALPHA DDIS 190 Manual,6
420,Manual,1st Owner,Diesel,68858,359499,Gurgaon,2015 Maruti Swift LDI O Manual,7
421,Manual,1st Owner,Diesel,97684,468799,Gurgaon,2017 Maruti Swift VDI Manual,5
422,Manual,1st Owner,Diesel,73846,575099,Gurgaon,2017 Maruti Baleno ZETA DDIS 190 Manual,5
423,Manual,1st Owner,Diesel,112079,395699,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
424,Manual,1st Owner,Diesel,98660,598899,Gurgaon,2016 Maruti Vitara Brezza VDI OPT Manual,6
425,Manual,1st Owner,Diesel,76733,551099,Gurgaon,2015 Maruti Ciaz ZDI SHVS Manual,7
426,Manual,2nd Owner,Diesel,8433,764299,Gurgaon,2017 Ford Ecosport 1.5 TDCI TITANIUM PLUS Manual,5
427,Manual,1st Owner,Diesel,50020,445799,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
428,Manual,1st Owner,Diesel,55639,531199,Gurgaon,2016 Maruti Baleno DELTA DDIS 190 Manual,6
429,Manual,1st Owner,Diesel,72830,363999,Gurgaon,2014 Hyundai i20 SPORTZ 1.4 CRDI Manual,8
430,Manual,1st Owner,Diesel,76915,439299,Gurgaon,2014 Maruti Swift Dzire ZDI Manual,8
431,Manual,1st Owner,Diesel,65741,436099,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
432,Manual,1st Owner,Diesel,56499,512799,Gurgaon,2017 Maruti Swift VDI ABS Manual,5
433,Manual,2nd Owner,Diesel,81167,424699,Gurgaon,2013 Ford Ecosport 1.5 TITANIUMTDCI OPT Manual,9
434,Manual,1st Owner,Diesel,47537,337099,Gurgaon,2014 Maruti Swift LDI BS IV Manual,8
435,Manual,1st Owner,Diesel,97705,488699,Gurgaon,2017 Maruti Swift VDI ABS Manual,5
436,Manual,1st Owner,Petrol,23209,375899,Gurgaon,2019 Maruti Alto VXI Manual,3
437,Manual,1st Owner,Diesel,83338,497699,Gurgaon,2015 Hyundai i20 Active 1.4 SX Manual,7
438,Manual,1st Owner,Petrol,37748,383999,Gurgaon,2019 Maruti Alto VXI Manual,3
439,Manual,1st Owner,Diesel,69270,552399,Gurgaon,2016 Maruti Baleno DELTA DDIS 190 Manual,6
440,Manual,1st Owner,Diesel,73886,388299,Gurgaon,2015 Hyundai Grand i10 SPORTZ 1.1 CRDI Manual,7
441,Manual,1st Owner,Diesel,28321,457399,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
442,Manual,1st Owner,Diesel,113124,579999,Gurgaon,2017 Ford Ecosport 1.5 TREND+ TDCI Manual,5
443,Manual,1st Owner,Diesel,112541,354499,Gurgaon,2014 Maruti Swift VDI Manual,8
444,Manual,1st Owner,Diesel,107106,335799,Gurgaon,2014 Maruti Swift VDI Manual,8
445,Manual,1st Owner,Diesel,56690,439099,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
446,Manual,1st Owner,Diesel,57070,412922,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
447,Manual,1st Owner,Diesel,47397,418499,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
448,Manual,1st Owner,Diesel,102988,377599,Gurgaon,2014 Maruti Swift VDI ABS Manual,8
449,Manual,2nd Owner,Diesel,103732,316799,Gurgaon,2013 Maruti Swift VDI Manual,9
450,Manual,1st Owner,Diesel,69864,432499,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
451,Manual,1st Owner,Diesel,83576,436299,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
452,Manual,1st Owner,Diesel,68431,325299,Gurgaon,2013 Maruti Swift VDI Manual,9
453,Manual,1st Owner,Diesel,85513,396999,Gurgaon,2013 Ford Ecosport 1.5TITANIUM TDCI Manual,9
454,Manual,1st Owner,Diesel,91686,421099,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
455,Manual,1st Owner,Diesel,74253,342699,Gurgaon,2014 Maruti Swift VDI Manual,8
456,Manual,1st Owner,Diesel,127751,694399,Gurgaon,2014 Toyota Corolla Altis D 4D G Manual,8
457,Manual,1st Owner,Diesel,72498,392299,Gurgaon,2014 Maruti Swift VDI ABS Manual,8
458,Manual,1st Owner,Diesel,86812,431649,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
459,Manual,1st Owner,Diesel,123138,372899,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
460,Manual,2nd Owner,Diesel,68158,508999,Gurgaon,2015 Hyundai Elite i20 ASTA 1.4 CRDI Manual,7
461,Manual,1st Owner,Diesel,40129,883899,Gurgaon,2018 Maruti S Cross ALPHA SHVS Manual,4
462,Manual,2nd Owner,Diesel,91458,786599,Gurgaon,2017 Maruti S Cross ALPHA SHVS Manual,5
463,Manual,1st Owner,Diesel,92528,384599,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
464,Manual,1st Owner,Diesel,39381,390799,Gurgaon,2014 Maruti Swift VDI Manual,8
465,Manual,2nd Owner,Diesel,67111,664499,Gurgaon,2017 Maruti Vitara Brezza VDI OPT Manual,5
466,Manual,2nd Owner,Diesel,96675,748799,Gurgaon,2017 Maruti S Cross ALPHA SHVS Manual,5
467,Manual,1st Owner,Diesel,83563,503599,Gurgaon,2015 Maruti S Cross SIGMA 1.3 Manual,7
468,Manual,1st Owner,Diesel,73782,506599,Gurgaon,2015 Ford Ecosport 1.5TITANIUM TDCI Manual,7
469,Manual,1st Owner,Diesel,88060,661799,Gurgaon,2017 Maruti Vitara Brezza VDI OPT Manual,5
470,Manual,2nd Owner,Diesel,70468,506299,Gurgaon,2015 Maruti S Cross SIGMA 1.3 Manual,7
471,Manual,1st Owner,Diesel,45784,373699,Gurgaon,2014 Maruti Swift VDI Manual,8
472,Manual,1st Owner,Diesel,69784,350799,Gurgaon,2014 Maruti Swift VDI Manual,8
473,Manual,1st Owner,Diesel,66066,661999,Gurgaon,2017 Maruti Vitara Brezza VDI OPT Manual,5
474,Manual,1st Owner,Diesel,70807,371345,Gurgaon,2013 Maruti Swift ZDI Manual,9
475,Manual,1st Owner,Diesel,76338,342599,Gurgaon,2014 Maruti Swift VDI Manual,8
476,Manual,2nd Owner,Diesel,119551,671999,Gurgaon,2014 Toyota Innova 2.5 GX 8 STR BS IV Manual,8
477,Manual,1st Owner,Diesel,35977,366999,Gurgaon,2014 Maruti Swift VDI ABS Manual,8
478,Manual,1st Owner,Diesel,104680,409199,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
479,Manual,1st Owner,Diesel,76942,339699,Gurgaon,2013 Maruti Swift VDI Manual,9
480,Manual,2nd Owner,Diesel,82438,330599,Gurgaon,2014 Maruti Swift VDI Manual,8
481,Manual,1st Owner,Diesel,71940,351899,Gurgaon,2014 Maruti Swift VDI Manual,8
482,Manual,1st Owner,Diesel,77659,365499,Gurgaon,2013 Maruti Swift ZDI Manual,9
483,Manual,2nd Owner,Diesel,83615,366399,Gurgaon,2013 Maruti Swift ZDI Manual,9
484,Manual,1st Owner,Diesel,81987,674599,Gurgaon,2017 Maruti Vitara Brezza ZDI Manual,5
485,Manual,2nd Owner,Diesel,85734,460399,Gurgaon,2015 Ford Ecosport 1.5TITANIUM TDCI Manual,7
486,Manual,1st Owner,Diesel,92143,393499,Gurgaon,2014 Maruti Swift ZDI Manual,8
487,Manual,2nd Owner,Diesel,61862,405799,Gurgaon,2015 Maruti Swift VDI ABS Manual,7
488,Manual,1st Owner,Diesel,15957,771399,Gurgaon,2018 Maruti Vitara Brezza VDI Manual,4
489,Manual,1st Owner,Diesel,84262,947799,Gurgaon,2014 Toyota Innova 2.5 VX 8 STR BS IV Manual,8
490,Manual,1st Owner,Diesel,136746,965999,Gurgaon,2014 Toyota Innova 2.5 VX 8 STR BS IV Manual,8
491,Manual,1st Owner,Diesel,64844,330599,Gurgaon,2013 Maruti Swift VDI Manual,9
492,Manual,1st Owner,Diesel,22037,739799,Gurgaon,2017 Maruti Vitara Brezza ZDI Manual,5
493,Manual,1st Owner,Diesel,33489,380399,Gurgaon,2014 Maruti Swift VDI Manual,8
494,Manual,1st Owner,Diesel,73330,408499,Gurgaon,2014 Maruti Swift ZDI Manual,8
495,Manual,2nd Owner,Diesel,50969,448399,Gurgaon,2014 Ford Ecosport 1.5TITANIUM TDCI Manual,8
496,Automatic,1st Owner,Diesel,86344,599799,Gurgaon,2017 Maruti Dzire VDI AMT Automatic,5
497,Manual,1st Owner,Diesel,70007,989999,Gurgaon,2014 Toyota Innova 2.5 VX 8 STR BS IV Manual,8
498,Manual,1st Owner,Petrol,8513,381899,Gurgaon,2020 Maruti Alto LXI Manual,2
499,Manual,1st Owner,Diesel,95302,378899,Gurgaon,2015 Ford Figo Aspire 1.5 AMBIENTE DIESEL Manual,7
